Serial Number,English Word,Part of Speech,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
229,Delineate,Verb,விவரி,विस्तार से बताना (Vistaar Se Bataana),The policy clearly delineates the steps.,கொள்கை தெளிவாக நடவடிக்கைகளை விவரிக்கிறது.,नीति स्पष्ट रूप से कदमों को विस्तार से बताती है।,"Describe, Outline, Define",வரையறுத்தல்
230,Exorbitant,Adjective,அதிகப்படியான,अत्यधिक (Atyadhik),The price was exorbitant.,விலை அதிகப்படியானதாக இருந்தது.,कीमत अत्यधिक थी।,"Excessive, High, Extreme",மிக அதிகமான
231,Finesse,Verb,திறமையாகச் செய்,कुशलता से करना (Kushalata Se Karna),He finessed the deal expertly.,அவர் ஒப்பந்தத்தை திறமையாகச் செய்தார்.,उन्होंने सौदे को कुशलता से किया।,"Skill, Flair, Polish",சாதுரியம்
232,Glib,Adjective,பேச்சில் லாவகம்,वाक्पटु (Vaakpatu),Be wary of his glib promises.,அவரது பேச்சில் லாவகம் உள்ள வாக்குறுதிகளில் கவனமாக இருங்கள்.,उनकी वाक्पटु प्रतिज्ञाओं से सावधान रहें।,"Fluent, Slick, Fast-talking",சரளமான (மேலோட்டமான)
233,Hortatory,Adjective,ஊக்கமளிக்கும்,प्रोत्साहन देने वाला (Protsaahan Dene Vaala),The leader gave a hortatory speech.,தலைவர் ஒரு ஊக்கமளிக்கும் உரையை நிகழ்த்தினார்.,नेता ने एक प्रोत्साहन देने वाला भाषण दिया।,"Encouraging, Exhorting",ஊக்கப்படுத்துகிற
234,Imbroglio,Noun,சிக்கலான நிலை,जटिल स्थिति (Jatil Sthiti),The affair resulted in a legal imbroglio.,இந்த விவகாரம் ஒரு சட்ட சிக்கலான நிலையை ஏற்படுத்தியது.,इस मामले के परिणामस्वरूप एक कानूनी जटिल स्थिति बन गई।,"Entanglement, Mess, Mix-up",குழப்பம் / சிக்கல்
235,Jocose,Adjective,வேடிக்கையான,मज़ाकिया (Mazaakiya),His jocose comments lightened the mood.,அவரது வேடிக்கையான கருத்துக்கள் மனநிலையை லேசாக்கின.,उनकी मज़ाकिया टिप्पणियों ने माहौल को हल्का कर दिया।,"Playful, Humorous, Witty",நகைச்சுவையான
236,Kindred,Noun,உறவினர்,रिश्तेदार (Rishtedaar),They found a kindred spirit in the group.,அவர்கள் குழுவில் ஒரு உறவினரைக் கண்டார்கள்.,उन्हें समूह में एक समान आत्मा मिली।,"Related, Akin, Similar",உறவான
237,Loll,Verb,சும்மா இரு,आलस्य में रहना (Aalasya Mein Rahana),The dog loved to loll in the sun.,நாய்க்கு வெயிலில் சும்மா இருக்க மிகவும் பிடித்திருந்தது.,कुत्ते को धूप में आलस्य में रहना बहुत पसंद था।,"Lounge, Sprawl, Slump",சோம்பலாக இரு
238,Malinger,Verb,நோய்வாய்ப்பட்டதாக பாசாங்கு செய்,काम से बचने के लिए बहाना करना (Kaam Se Bachne Ke Liye Bahaana Karna),The lazy worker would often malinger.,சோம்பேறி தொழிலாளி பெரும்பாலும் நோய்வாய்ப்பட்டதாக பாசாங்கு செய்வார்.,आलसी कर्मचारी अक्सर काम से बचने के लिए बहाना करता था।,"Shirk, Sham, Fake",வேலையைத் தவிர்க்க பொய்சொல்
239,Nadir,Noun,அடித்தளம்,निम्नतम बिंदु (Nimnatam Bindu),His career reached its nadir after the scandal.,ஊழலுக்குப் பிறகு அவரது தொழில் அதன் அடித்தளத்தை அடைந்தது.,घोटाले के बाद उनका करियर अपने निम्नतम बिंदु पर पहुंच गया।,"Lowest point, Bottom",அதலபாதாளம்
240,Obsequious,Adjective,பணிவான,चापलूस (Chaaploos),The assistant was extremely obsequious.,உதவியாளர் மிகவும் பணிவானவராக இருந்தார்.,सहायक अत्यधिक चापलूस था।,"Servile, Fawning, Groveling",மிதமிஞ்சிய பணிவு
241,Pellucid,Adjective,ஒளி ஊடுருவக்கூடிய,पारदर्शी (Paardarshi),The river was pellucid and clear.,நதி ஒளி ஊடுருவக்கூடியதாகவும் தெளிவாகவும் இருந்தது.,नदी पारदर्शी और साफ थी।,"Transparent, Clear, Lucid",பளிங்கு போன்ற தெளிவான
242,Quibble,Verb,சிறிய விஷயங்களுக்காகச் சண்டை பிடி,छोटी बातों पर झगड़ना (Chhoti Baaton Par Jhagadna),Let's not quibble over minor details.,சிறிய விவரங்களுக்காகச் சண்டை பிடிக்க வேண்டாம்.,आइए छोटी बातों पर झगड़ा न करें।,"Complain, Object, Nitpick",சிறு குறை காணுதல்
243,Rambunctious,Adjective,சத்தமிடும் / கட்டுப்பாடற்ற,उपद्रवी (Upadravi),The rambunctious crowd was difficult to control.,சத்தமிடும் கூட்டத்தைக் கட்டுப்படுத்துவது கடினமாக இருந்தது.,उपद्रवी भीड़ को नियंत्रित करना मुश्किल था।,"Rowdy, Wild, Unruly",அடங்காத
244,Solace,Noun,ஆறுதல்,दिलासा (Dilaasa),She found solace in music.,அவள் இசையில் ஆறுதல் கண்டாள்.,उसे संगीत में दिलासा मिला।,"Comfort, Consolation, Relief",ஆறுதல்
245,Tantamount,Adjective,ஒத்த,तुल्य (Tulya),Ignoring him is tantamount to rudeness.,அவரைப் புறக்கணிப்பது முரட்டுத்தனத்திற்கு ஒத்தது.,उसे अनदेखा करना असभ्यता के तुल्य है।,"Equivalent, Equal",சமமானது
246,Truculent,Adjective,முரட்டுத்தனமான,झगड़ालू (Jhagaraloo),The truculent man started a fight.,முரட்டுத்தனமான மனிதன் சண்டையைத் தொடங்கினான்.,झगड़ालू आदमी ने लड़ाई शुरू कर दी।,"Aggressive, Defiant, Fierce",சண்டையிடத் தயாரான
247,Ubiquitous,Adjective,எங்கும் உள்ள,सर्वव्यापी (Sarvavyaapi),Computers are now ubiquitous.,கணினிகள் இப்போது எங்கும் உள்ளவை.,कंप्यूटर अब सर्वव्यापी हैं।,"Everywhere, Pervasive",எங்கும் நிறைந்த
248,Vehement,Adjective,உணர்ச்சிவசப்பட்ட,प्रबल (Prabal),He gave a vehement denial.,அவர் ஒரு உணர்ச்சிவசப்பட்ட மறுப்பை அளித்தார்.,उन्होंने एक प्रबल खंडन किया।,"Passionate, Forceful, Intense",ஆவேசமான
249,Wistful,Adjective,ஏக்கம்,लालसा (Laalasaa),He looked back with wistful longing.,அவர் ஏக்கத்துடன் திரும்பிப் பார்த்தார்.,उन्होंने लालसा के साथ पीछे मुड़कर देखा।,"Regretful, Longing, Sad",ஏக்கம் நிறைந்த
250,Yawn,Noun,சலிப்பான விஷயம்,उबाऊ बात (Ubaao Baat),The lecture was a total yawn.,அந்த விரிவுரை ஒரு முழுமையான சலிப்பான விஷயம்.,व्याख्यान पूरी तरह से उबाऊ था।,"Gape, Opening",கொட்டாவி
251,Abnegate,Verb,மறுத்து விடு / தியாகம் செய்,त्याग करना (Tyaag Karna),She chose to abnegate her luxurious lifestyle.,அவர் தனது ஆடம்பரமான வாழ்க்கை முறையை தியாகம் செய்யத் தேர்ந்தெடுத்தார்.,उन्होंने अपनी शानदार जीवनशैली का त्याग करना चुना।,"Renounce, Reject, Deny",மறுத்தல் / துறத்தல்
252,Bifurcate,Verb,இரண்டாகப் பிரி,दो भागों में बाँटना (Do Bhaagon Mein Baantna),The road began to bifurcate near the river.,சாலை ஆற்றுக்கு அருகில் இரண்டாகப் பிரிய ஆரம்பித்தது.,नदी के पास सड़क दो भागों में बाँटना शुरू हो गई।,"Split, Fork, Divide",இரண்டாகப் பிரி
253,Celerity,Noun,வேகம் / விரைவு,फुर्ती (Fuurti),He finished the task with surprising celerity.,அவர் ஆச்சரியமான வேகத்துடன் பணியை முடித்தார்.,उन्होंने आश्चर्यजनक फुर्ती के साथ काम पूरा किया।,"Swiftness, Speed, Haste",வேகம் / விரைவு
254,Desultory,Adjective,ஒழுங்கற்ற / தொடர்பற்ற,अनियमित (Aniyamit),He made a few desultory remarks.,அவர் சில ஒழுங்கற்ற கருத்துக்களைத் தெரிவித்தார்.,उन्होंने कुछ अनियमित टिप्पणियाँ कीं।,"Random, Aimless, Casual",திட்டமிடாத / தொடர்பற்ற
255,Ebullient,Adjective,மகிழ்ச்சி பொங்கும்,उत्साहपूर्ण (Utsaahapurn),The host was in an ebullient mood.,தொகுப்பாளர் ஒரு மகிழ்ச்சி பொங்கும் மனநிலையில் இருந்தார்.,मेज़बान उत्साहपूर्ण मूड में था।,"Exuberant, Cheerful, Jolly",துடிப்பான
256,Factious,Adjective,பிளவுபடுத்தும்,दलबंदी करने वाला (Dalbandi Karne Vaala),The committee was highly factious.,குழு மிகவும் பிளவுபடுத்தும் தன்மையுடன் இருந்தது.,समिति अत्यधिक दलबंदी करने वाली थी।,"Divided, Splintered",கோஷ்டி பூசல் கொண்ட
257,Germane,Adjective,தொடர்புடைய,प्रासंगिक (Praasangik),That point is not germane to the discussion.,அந்தக் கருத்து விவாதத்திற்கு தொடர்புடையது அல்ல.,वह बिंदु चर्चा के लिए प्रासंगिक नहीं है।,"Relevant, Applicable, Pertinent",பொருத்தமான
258,Heterodox,Adjective,மரபுக்கு மாறான,अपरंपरागत (Aparampraaghat),He held some heterodox views on religion.,அவர் மதம் பற்றி சில மரபுக்கு மாறான கருத்துக்களைக் கொண்டிருந்தார்.,वह धर्म पर कुछ अपरंपरागत विचार रखते थे।,"Unorthodox, Nonconformist",வழக்கத்திற்கு மாறான
259,Inimical,Adjective,விரோதமான / தீங்கிழைக்கும்,शत्रुतापूर्ण (Shatrutapurn),His actions were inimical to the company's goals.,அவரது செயல்கள் நிறுவனத்தின் இலக்குகளுக்கு விரோதமானதாக இருந்தன.,उनके कार्य कंपनी के लक्ष्यों के लिए शत्रुतापूर्ण थे।,"Harmful, Hostile, Adverse",விரோதமான
260,Jettison,Noun,எறிதல்,त्याग (Tyaag),The jettison of outdated ideas is necessary.,காலாவதியான கருத்துக்களை எறிதல் அவசியம்.,पुराने विचारों का त्याग आवश्यक है।,"Discard, Dump, Shed",எறிந்துவிடுதல்
261,Ken,Noun,அறிவு எல்லை,ज्ञान की सीमा (Gyaan Ki Seema),Such matters are beyond my ken.,அத்தகைய விஷயங்கள் என் அறிவு எல்லைக்கு அப்பாற்பட்டவை.,ऐसे मामले मेरी ज्ञान की सीमा से बाहर हैं।,"Knowledge, Understanding",அறிவு வரம்பு
262,Limpid,Adjective,தெளிவான / ஒளிபுகும்,स्वच्छ (Svachh),The water in the stream was limpid.,ஓடையில் உள்ள நீர் தெளிவானதாக இருந்தது.,नाले का पानी स्वच्छ था।,"Clear, Transparent, Pure",தெளிந்த
263,Mendacious,Adjective,பொய்யான,झूठा (Jhootha),The politician gave a mendacious account.,அரசியல்வாதி ஒரு பொய்யான அறிக்கையை அளித்தார்.,राजनेता ने एक झूठा विवरण दिया।,"Lying, Untruthful, False",பொய்யான
264,Nefarious,Noun,அக்கிரமம்,दुष्टता (Dushtata),The organization was known for its nefarious activities.,அந்த அமைப்பு அதன் அக்கிரமமான நடவடிக்கைகளுக்கு பெயர் பெற்றது.,संगठन अपनी दुष्टता भरी गतिविधियों के लिए जाना जाता था।,"Wicked, Villainous, Evil",கொடிய / வஞ்சகமான
265,Ostracize,Verb,ஒதுக்கி வை,बहिष्कृत करना (Bahishkrit Karna),The group decided to ostracize the troublemaker.,குழு பிரச்சனையை உருவாக்குபவரை ஒதுக்கி வைக்க முடிவு செய்தது.,समूह ने उपद्रवी को बहिष्कृत करने का फैसला किया।,"Exclude, Banish, Shun",ஒதுக்கிவைத்தல்
266,Palpable,Adjective,தெளிவாக உணரும்,स्पष्ट (Spasht),The tension in the room was palpable.,அறையில் இருந்த பதற்றம் தெளிவாக உணரக்கூடியதாக இருந்தது.,कमरे में तनाव स्पष्ट था।,"Tangible, Noticeable, Real",உணரக்கூடிய
267,Querulous,Adjective,சலிப்படைந்த / முணுமுணுக்கும்,शिकायत करने वाला (Shikaayat Karne Vaala),The patient was querulous about the food.,நோயாளி உணவைப் பற்றி சலிப்படைந்தவராக இருந்தார்.,मरीज़ भोजन के बारे में शिकायत करने वाला था।,"Grumbling, Complaining",குறைகூறுகிற
268,Redolent,Adjective,வாசனை வீசும்,सुगंधित (Sugandhit),The room was redolent of fresh flowers.,அறை புதிய பூக்களின் வாசனை வீசுவதாக இருந்தது.,कमरा ताज़े फूलों से सुगंधित था।,"Fragrant, Scented, Evocative",நறுமணம் வீசும்
269,Sonder,Noun,மற்றவர்களின் ஆழமான வாழ்க்கை குறித்த திடீர் உணர்வு,दूसरों के गहन जीवन के बारे में अचानक एहसास (Doosron Ke Gahan Jeevan Ke Baare Mein Achaanak Ehsaas),The feeling of sonder hit me on the busy street.,பிஸியான தெருவில் எனக்கு சொண்டர் உணர்வு தாக்கியது.,व्यस्त सड़क पर मुझे दूसरों के गहन जीवन के बारे में अचानक एहसास हुआ।,"Realization, Empathy",பிறர் வாழ்வைப் பற்றிய புரிதல்
270,Temerity,Noun,துணிச்சல் / தைரியம் (அளவுக்கு மீறிய),दुस्साहस (Dussaahas),He had the temerity to question the boss.,அவர் முதலாளியைக் கேள்வி கேட்கும் துணிச்சல் கொண்டிருந்தார்.,उसमें बॉस से सवाल करने का दुस्साहस था।,"Audacity, Boldness, Nerve",துணிகரம்
271,Unwieldy,Adjective,கையாள கடினமான,बोझिल (Bojhil),The package was large and unwieldy.,அந்தப் பொட்டலம் பெரியதாகவும் கையாள கடினமானதாகவும் இருந்தது.,पैकेज बड़ा और बोझिल था।,"Awkward, Clumsy, Hefty",கையாளக் கடினமான
272,Vacuous,Adjective,பொருளற்ற / வெறுமையான,अर्थहीन (Arthheen),He made a vacuous statement.,அவர் ஒரு பொருளற்ற அறிக்கையை வெளியிட்டார்.,उन्होंने एक अर्थहीन बयान दिया।,"Empty, Mindless, Blank",அறிவற்ற / வெற்று
273,Waffle,Noun,பயனற்ற பேச்சு,बेकार की बातें (Bekaar Ki Baatein),The whole presentation was just a lot of waffle.,முழு விளக்கக்காட்சியும் வெறும் பயனற்ற பேச்சு தான்.,पूरी प्रस्तुति केवल ढेर सारी बेकार की बातें थी।,"Prattle, Jabber",வீண் பேச்சு
274,Yawn,Verb,கொட்டாவி விடு,उबासी लेना (Ubaasi Lena),The crowd began to yawn during the long speech.,நீண்ட உரையின் போது கூட்டம் கொட்டாவி விட ஆரம்பித்தது.,लंबे भाषण के दौरान भीड़ ने उबासी लेना शुरू कर दिया।,"Gape, Opening",கொட்டாவி
275,Zephyr,Noun,மெல்லிய காற்று,हल्की हवा (Halki Havaa),A gentle zephyr cooled the air.,ஒரு மெல்லிய காற்று காற்றைக் குளிர்வித்தது.,एक कोमल हल्की हवा ने हवा को ठंडा कर दिया।,"Breeze, Draft, Wind",தென்றல்
276,Abscond,Verb,தப்பி ஓடு,भाग जाना (Bhaag Jaana),The thief tried to abscond with the jewels.,திருடன் நகைகளுடன் தப்பி ஓட முயன்றான்.,चोर ने गहनों के साथ भाग जाने की कोशिश की।,"Escape, Flee, Bolt",தலைமறைவாகு
277,Banal,Adjective,சலிப்பான / பழமையான,नीरस (Neeras),The play was filled with banal dialogues.,நாடகம் சலிப்பான உரையாடல்களால் நிரம்பியிருந்தது.,नाटक नीरस संवादों से भरा था।,"Trite, Commonplace, Dull",சலிப்பூட்டும் / சாதாரண
278,Cabal,Noun,சதி குழு,षड्यंत्रकारी समूह (Shadyantrakari Samuuh),A secret cabal met to plan the coup.,ஆட்சிக்கவிழ்ப்பைத் திட்டமிட ஒரு இரகசிய சதி குழு சந்தித்தது.,तख्तापलट की योजना बनाने के लिए एक गुप्त षड्यंत्रकारी समूह मिला।,"Clique, Faction, Group",இரகசியக் குழு
279,Deference,Noun,மரியாதை,आदर (Aadar),He showed great deference to the elders.,அவர் பெரியவர்களிடம் மிகுந்த மரியாதையைக் காட்டினார்.,उन्होंने बड़ों के प्रति अत्यधिक आदर दिखाया।,"Respect, Regard, Esteem",மரியாதை / இணக்கம்
280,Eke,Verb,சிரமப்பட்டு வாழ் / நீட்டு,मुश्किल से गुज़ारा करना (Mushkil Se Guzaara Karna),They had to eke out a living from farming.,அவர்கள் விவசாயத்தின் மூலம் சிரமப்பட்டு வாழ வேண்டியிருந்தது.,उन्हें खेती से मुश्किल से गुज़ारा करना पड़ा।,"Manage, Survive, Scrape",கஷ்டப்பட்டு வாழ்
281,Fecund,Adjective,கருத்தரிக்கும் / உற்பத்தித் திறன் கொண்ட,उपजाऊ (Upjaau),The artist's mind was incredibly fecund.,கலைஞரின் மனம் நம்பமுடியாத அளவிற்கு உற்பத்தித் திறன் கொண்டதாக இருந்தது.,कलाकार का मन अविश्वसनीय रूप से उपजाऊ था।,"Fertile, Productive",செழிப்பான
282,Glib,Adjective,சரளமாகப் பேசும் (ஆழமற்ற),वाक्पटु (Vaakpatu),The salesman was a bit too glib.,விற்பனையாளர் சற்று அதிகமாகவே சரளமாகப் பேசும் தன்மையுடையவர்.,विक्रेता थोड़ा ज़्यादा ही वाक्पटु था।,"Slick, Superficial",சாதுர்யமான பேச்சு
283,Hubris,Noun,அகந்தை,अहंकार (Ahankaar),His final failure was due to his own hubris.,அவரது இறுதி தோல்வி அவரது சொந்த அகந்தையினால் ஏற்பட்டது.,उनकी अंतिम विफलता उनके अपने अहंकार के कारण हुई।,"Arrogance, Pride",அதீத கர்வம்
284,Impecunious,Adjective,பணமில்லாத,निर्धन (Nirdhan),He was almost impecunious after the layoff.,வேலையிலிருந்து நீக்கப்பட்ட பிறகு அவர் கிட்டத்தட்ட பணமில்லாதவராக இருந்தார்.,छंटनी के बाद वह लगभग निर्धन हो गया था।,"Poor, Penniless, Needy",வறிய / பணமில்லாத
285,Jubilant,Adjective,மகிழ்ச்சியில் திளைக்கும்,आनंदित (Aanandit),The crowd was jubilant after the victory.,வெற்றியின் பின்னர் கூட்டம் மகிழ்ச்சியில் திளைத்தது.,जीत के बाद भीड़ आनंदित थी।,"Overjoyed, Thrilled",களிப்புடன் இருக்கும்
286,Kismet,Noun,விதி,नसीब (Naseeb),Meeting him was simply kismet.,அவரைச் சந்தித்தது வெறுமனே விதி.,उनसे मिलना बस नसीब था।,"Fate, Destiny",விதி
287,Laggard,Noun,மந்தமானவர்,सुस्त व्यक्ति (Sust Vyakti),The team was slowed down by the laggard.,மந்தமானவர் காரணமாக குழு மெதுவானது.,टीम सुस्त व्यक्ति के कारण धीमी हो गई थी।,"Straggler, Slowpoke",பின்தங்கியிருப்பவர்
288,Moribund,Adjective,அழிவின் விளிம்பில் உள்ள,मरणासन्न (Marnaasann),The industry has been moribund for years.,இந்தத் தொழில் பல ஆண்டுகளாக அழிவின் விளிம்பில் உள்ளது.,यह उद्योग कई वर्षों से मरणासन्न रहा है।,"Dying, Declining, Fading",சாகுந்தருவாயில் உள்ள
289,Nonchalant,Adjective,கவலையற்ற,लापरवाह (Laaparvaah),He maintained a nonchalant attitude despite the stress.,அழுத்தத்தின் மத்தியிலும் அவர் ஒரு கவலையற்ற அணுகுமுறையைப் பராமரித்தார்.,तनाव के बावजूद उन्होंने एक लापरवाह रवैया बनाए रखा।,"Calm, Unconcerned, Cool",அலட்சியமான / நிதானமான
290,Obfuscate,Verb,குழப்பு,उलझाना (Uljhaana),Do not obfuscate the core issue.,முக்கியப் பிரச்சினையைக் குழப்ப வேண்டாம்.,मुख्य मुद्दे को उलझाना नहीं चाहिए।,"Confuse, Blur, Obscure",குழப்புதல்
291,Piquant,Adjective,காரமான / கவர்ச்சியான,तीखा (Teekha),The sauce had a piquant flavor.,அந்த சாஸில் ஒரு காரமான சுவை இருந்தது.,चटनी का स्वाद तीखा था।,"Spicy, Tangy, Stimulating",சுவையான / தூண்டும்
292,Quell,Verb,தணி,दबाना (Dabaana),The leader spoke to quell public fears.,பொதுமக்களின் அச்சத்தைத் தணிக்க தலைவர் பேசினார்.,नेता ने जनता के डर को दबाने के लिए बात की।,"Suppress, Subdue",அடக்குதல்
293,Raconteur,Noun,கதைசொல்லி,कहानीकार (Kahaanikaar),He was a charming raconteur.,அவர் ஒரு கவர்ச்சியான கதைசொல்லியாக இருந்தார்.,वह एक आकर्षक कहानीकार थे।,"Storyteller, Narrator",கதை சொல்வதில் வல்லவர்
294,Stigma,Noun,களங்கம்,कलंक (Kalank),There is a social stigma attached to debt.,கடனுடன் ஒரு சமூக களங்கம் இணைக்கப்பட்டுள்ளது.,कर्ज से एक सामाजिक कलंक जुड़ा हुआ है।,"Shame, Disgrace, Stain",கறை / அவமானம்
295,Turgid,Adjective,வீங்கிய,फूला हुआ (Foola Hua),The writing was turgid and pretentious.,அந்த எழுத்து வீங்கியதாகவும் பாசாங்கு செய்வதாகவும் இருந்தது.,लेखन फूला हुआ और दिखावटी था।,"Swollen, Inflated",வீங்கிய / ஆடம்பரமான
296,Unkempt,Adjective,சிதறிய,बेतरतीब (Betarteeb),The room was dusty and unkempt.,அறை தூசி படிந்ததாகவும் சிதறியதாகவும் இருந்தது.,कमरा धूल भरा और बेतरतीब था।,"Messy, Untidy",அழுக்கான / கலைந்த
297,Venerate,Verb,வணங்கு,पूजा करना (Pooja Karna),We venerate our nation's founders.,நாம் நமது தேசத்தின் நிறுவனர்களை வணங்குகிறோம்.,हम अपने देश के संस्थापकों की पूजा करते हैं।,"Revere, Worship, Honor",போற்றுதல்
298,Wanton,Adjective,அநாவசியமான,जानबूझकर किया गया (Jaanboojhkar Kiya Gaya),The attack was an act of wanton violence.,இந்தத் தாக்குதல் அநாவசியமான வன்முறையின் செயல்.,हमला जानबूझकर किया गया हिंसा का कार्य था।,"Deliberate, Malicious",காரணமற்ற / கொடிய
299,Xenial,Adjective,விருந்தோம்பல் தொடர்பான,अतिथि सत्कार संबंधी (Atithi Satkaar Sambandhi),The country is known for its xenial customs.,அந்த நாடு அதன் விருந்தோம்பல் தொடர்பான பழக்கவழக்கங்களுக்கு பெயர் பெற்றது.,वह देश अपनी अतिथि सत्कार संबंधी प्रथाओं के लिए जाना जाता है।,"Hospitable, Welcoming",விருந்தோம்பும் பண்புள்ள
300,Yoke,Noun,அடிமைத்தனம் / பிணைப்பு,गुलामी (Gulaami),They lived under the yoke of oppression.,அவர்கள் ஒடுக்குமுறையின் அடிமைத்தனத்தின் கீழ் வாழ்ந்தார்கள்.,वे दमन की गुलामी के अधीन रहते थे।,"Harness, Bondage",நுகத்தடி / பிணைப்பு
301,Acme,Noun,உச்சநிலை,चरम सीमा (Charam Seema),He reached the acme of his profession.,அவர் தனது தொழிலின் உச்சநிலையை அடைந்தார்.,वह अपने पेशे की चरम सीमा पर पहुँच गए।,"Peak, Zenith, Summit",உச்சி / சிகரம்
302,Bellwether,Noun,முன்னோடி / வழிகாட்டி,मार्गदर्शक (Maargadarshak),The sector is a bellwether for the economy.,இந்தத் துறை பொருளாதாரத்தின் ஒரு முன்னோடி.,यह क्षेत्र अर्थव्यवस्था के लिए एक मार्गदर्शक है।,"Leader, Indicator, Guide",வழிகாட்டி / முன்னோடி
303,Contravene,Verb,மீறு / விதிக்கு முரணாக செய்,उल्लंघन करना (Ullanghan Karna),His actions contravene the company policy.,அவரது செயல்கள் நிறுவனத்தின் கொள்கையை மீறுகின்றன.,उनके कार्य कंपनी की नीति का उल्लंघन करते हैं।,"Violate, Break, Breach",மீறுதல்
304,Disparate,Adjective,மிகவும் வேறுபட்ட,बिलकुल अलग (Bilkul Alag),The team members had disparate skill sets.,குழு உறுப்பினர்கள் மிகவும் வேறுபட்ட திறன் தொகுப்புகளைக் கொண்டிருந்தனர்.,टीम के सदस्यों के पास बिलकुल अलग कौशल सेट थे।,"Contrasting, Different",வேறுபட்ட
305,Efficacy,Noun,பலன் / திறமை,प्रभावशीलता (Prabhaavsheelta),We need to test the efficacy of the drug.,நாம் மருந்தின் பலனை சோதிக்க வேண்டும்.,हमें दवा की प्रभावशीलता का परीक्षण करने की आवश्यकता है।,"Effectiveness, Success",செயல்திறன்
306,Foment,Verb,தூண்டி விடு,भड़काना (Bhadkaana),He was accused of fomenting discord.,அவர் பிளவுகளைத் தூண்டி விட்டதாக குற்றம் சாட்டப்பட்டார்.,उन पर कलह भड़काने का आरोप लगाया गया था।,"Instigate, Incite, Stir up",தூண்டிவிடுதல்
307,Garrulous,Adjective,வீண் பேச்சு பேசும்,बातूनी (Baatooni),The garrulous passenger talked the entire trip.,வீண் பேச்சு பேசும் பயணி பயணம் முழுவதும் பேசினார்.,बातूनी यात्री पूरी यात्रा बात करता रहा।,"Talkative, Loquacious",வளவளவென்று பேசும்
308,Histrionic,Adjective,மிகைப்படுத்தப்பட்ட நாடக பாணி,नाटकीय (Naatakeeya),His histrionic reaction annoyed everyone.,அவரது மிகைப்படுத்தப்பட்ட நாடக பாணி எதிர்வினை அனைவரையும் எரிச்சலூட்டியது.,उनकी नाटकीय प्रतिक्रिया से सभी परेशान थे।,"Melodramatic, Theatrical",மிகையான உணர்ச்சிவசப்பட்ட
309,Invective,Noun,கடுமையான தாக்குதல் (சொற்கள்),कटु आलोचना (Katu Aalochana),The letter was full of bitter invective.,கடிதம் கசப்பான கடுமையான தாக்குதலால் நிறைந்தது.,पत्र कड़वी कटु आलोचना से भरा था।,"Abuse, Insults",வசைமொழி
310,Jettison,Verb,கைவிடு,छोड़ना (Chhodna),They had to jettison the old business model.,அவர்கள் பழைய வணிக மாதிரியை கைவிட வேண்டியிருந்தது.,उन्हें पुराने व्यापार मॉडल को छोड़ना पड़ा।,"Discard, Dump",கைவிடுதல்
311,Kudos,Noun,பாராட்டு / புகழ்,यश (Yash),Kudos to the performers for a great show.,ஒரு சிறந்த நிகழ்ச்சிக்காக கலைஞர்களுக்கு பாராட்டு.,शानदार प्रदर्शन के लिए कलाकारों को यश।,"Praise, Honor, Glory",பாராட்டு / புகழ்
312,Lascivious,Adjective,காம வெறி கொண்ட,कामुक (Kaamuk),The film was criticized for its lascivious content.,திரைப்படம் அதன் காம வெறி கொண்ட உள்ளடக்கத்திற்காக விமர்சிக்கப்பட்டது.,फिल्म की अपनी कामुक सामग्री के लिए आलोचना की गई थी।,"Lustful, Lewd, Wanton",காமவெறி கொண்ட
313,Mellifluous,Adjective,இனிமையாக ஒலிக்கும்,मधुर (Madhur),The speaker's voice was deep and mellifluous.,பேச்சாளரின் குரல் ஆழமானதாகவும் இனிமையாக ஒலிப்பதாகவும் இருந்தது.,वक्ता की आवाज गहरी और मधुर थी।,"Dulcet, Sweet-sounding",இனிமையான ஒலி
314,Nostrum,Noun,போலி மருந்து / போலித் தீர்வு,गुप्त नुस्खा (Gupt Nuskha),That economic plan is a mere nostrum.,அந்த பொருளாதாரத் திட்டம் ஒரு வெறும் போலித் தீர்வு.,वह आर्थिक योजना मात्र एक गुप्त नुस्खा है।,"Remedy, Cure-all",கைமருந்து
315,Obdurate,Adjective,பிடிவாதமான,हठी (Hathi),The prisoner remained obdurate and silent.,கைதி பிடிவாதமாகவும் மௌனமாகவும் இருந்தார்.,कैदी हठी और शांत बना रहा।,"Stubborn, Obstinate",பிடிவாதமான
316,Pell-mell,Adverb,ஒழுங்கின்றி / அவசரமாக,अस्त-व्यस्त ढंग से (Ast-Vyast Dhang Se),The children ran pell-mell out of the classroom.,குழந்தைகள் ஒழுங்கின்றி வகுப்பறையிலிருந்து ஓடினர்.,बच्चे अस्त-व्यस्त ढंग से कक्षा से बाहर भागे।,"Headlong, Recklessly",தலைதெறிக்க ஓடுதல்
317,Quagmire,Noun,சதுப்பு நிலம் / சிக்கல்,दलदल (Daldal),The treaty negotiations became a political quagmire.,ஒப்பந்த பேச்சுவார்த்தைகள் ஒரு அரசியல் சிக்கலாக மாறியது.,संधि वार्ता एक राजनीतिक दलदल बन गई।,"Dilemma, Predicament",இக்கட்டான நிலை
