,English (V1/V2/V3),Tamil (Infinitive/Past/Perfect Participle),Hindi (Infinitive/Past/Perfect Participle)
202,Require / Required / Required,தேவைப்படு (Tēvaippaḍu) / தேவைப்பட்டேன் (Tēvaippaṭṭēn) / தேவைப்பட்டிருக்கிறேன் (Tēvaippaṭṭirukkirēn),आवश्यकता होना (Āvaśyaktā Honā) / आवश्यकता हुई (Āvaśyaktā Huī) / आवश्यकता हो चुका (Āvaśyaktā Ho Chukā)
203,Rest / Rested / Rested,ஓய்வெடு (Ōyveḍu) / ஓய்வெடுத்தேன் (Ōyveḍuttēn) / ஓய்வெடுத்திருக்கிறேன் (Ōyveḍuttirukkirēn),आराम करना (Ārām Karnā) / आराम किया (Ārām Kiyā) / आराम कर चुका (Ārām Kar Chukā)
204,Return / Returned / Returned,திரும்பு (Tirumbu) / திரும்பினேன் (Tirumbinēn) / திரும்பியுள்ளேன் (Tirumbiyuḷḷēn),वापस आना (Vāpas Ānā) / वापस आया (Vāpas Āyā) / वापस आ चुका (Vāpas Ā Chukā)
205,Save / Saved / Saved,காப்பாற்று (Kāppāṟṟu) / காப்பாற்றினேன் (Kāppāṟṟinēn) / காப்பாற்றியுள்ளேன் (Kāppāṟṟiyuḷḷēn),बचाना (Bachānā) / बचाया (Bachāyā) / बचा चुका (Bachā Chukā)
206,Seem / Seemed / Seemed,தோன்றுகிறது (Tōnṟugiṟadhu) / தோன்றியது (Tōnṟiyadhu) / தோன்றியிருக்கிறது (Tōnṟiyirukkiṟadhu),लगना (Lagnā) / लगा (Lagā) / लग चुका (Lag Chukā)
207,Serve / Served / Served,பணியாற்று (Paṇiyāṟṟu) / பணியாற்றினேன் (Paṇiyāṟṟinēn) / பணியாற்றியுள்ளேன் (Paṇiyāṟṟiyuḷḷēn),सेवा करना (Sevā Karnā) / सेवा की (Sevā Kī) / सेवा कर चुका (Sevā Kar Chukā)
208,Share / Shared / Shared,பகிர் (Pagir) / பகிர்தேன் (Pagirtēn) / பகிர்ந்திருக்கிறேன் (Pagirndhirukkirēn),साझा करना (Sājhā Karnā) / साझा किया (Sājhā Kiyā) / साझा कर चुका (Sājhā Kar Chukā)
209,Sign / Signed / Signed,கையெழுத்திடு (Kaiyeḻuttiḍu) / கையெழுத்திட்டேன் (Kaiyeḻuttiṭṭēn) / கையெழுத்திட்டிருக்கிறேன் (Kaiyeḻuttiṭṭirukkirēn),हस्ताक्षर करना (Hastākśar Karnā) / हस्ताक्षर किया (Hastākśar Kiyā) / हस्ताक्षर कर चुका (Hastākśar Kar Chukā)
210,Smile / Smiled / Smiled,சிரி (Siri) / சிரித்தேன் (Sirittēn) / சிரித்திருக்கிறேன் (Sirittirukkirēn),मुस्कुराना (Muskurānā) / मुस्कुराया (Muskurāyā) / मुस्कुरा चुका (Muskurā Chukā)
211,Start / Started / Started,தொடங்கு (Toḍaṅgu) / தொடங்கினேன் (Toḍaṅginēn) / தொடங்கியுள்ளேன் (Toḍaṅgiyuḷḷēn),शुरू करना (Shurū Karnā) / शुरू किया (Shurū Kiyā) / शुरू कर चुका (Shurū Kar Chukā)
212,Stay / Stayed / Stayed,தங்கு (Taṅgu) / தங்கினேன் (Taṅginēn) / தங்கியுள்ளேன் (Taṅgiyuḷḷēn),ठहरना (Ṭhahrnā) / ठहरा (Ṭhahrā) / ठहर चुका (Ṭhahr Chukā)
213,Stop / Stopped / Stopped,நிறுத்து (Niṟuttu) / நிறுத்தினேன் (Niṟuttinēn) / நிறுத்தியுள்ளேன் (Niṟuttiyuḷḷēn),रुकना (Ruknā) / रुका (Rukā) / रुक चुका (Ruk Chukā)
214,Suggest / Suggested / Suggested,பரிந்துரை செய் (Parindhurai Sey) / பரிந்துரை செய்தேன் (Parindhurai Seydhēn) / பரிந்துரை செய்திருக்கிறேன் (Parindhurai Seydhirukkirēn),सुझाव देना (Sujhāv Denā) / सुझाव दिया (Sujhāv Diyā) / सुझाव दे चुका (Sujhāv De Chukā)
215,Support / Supported / Supported,ஆதரி (Ādhari) / ஆதரித்தேன் (Ādharittēn) / ஆதரித்திருக்கிறேன் (Ādharittirukkirēn),समर्थन करना (Samarthan Karnā) / समर्थन किया (Samarthan Kiyā) / समर्थन कर चुका (Samarthan Kar Chukā)
216,Talk / Talked / Talked,பேசு (Pēsu) / பேசினேன் (Pēsinēn) / பேசியுள்ளேன் (Pēsiuḷḷēn),बात करना (Bāt Karnā) / बात की (Bāt Kī) / बात कर चुका (Bāt Kar Chukā)
217,Taste / Tasted / Tasted,சுவை (Suvai) / சுவைத்தேன் (Suvaittēn) / சுவைத்திருக்கிறேன் (Suvaittirukkirēn),स्वाद लेना (Svād Lenā) / स्वाद लिया (Svād Liyā) / स्वाद ले चुका (Svād Le Chukā)
218,Travel / Traveled / Traveled,பயணம் செய் (Payaṇam Sey) / பயணம் செய்தேன் (Payaṇam Seydhēn) / பயணம் செய்திருக்கிறேன் (Payaṇam Seydhirukkirēn),यात्रा करना (Yātrā Karnā) / यात्रा की (Yātrā Kī) / यात्रा कर चुका (Yātrā Kar Chukā)
219,Try / Tried / Tried,முயற்சி செய் (Muyarchi Sey) / முயற்சி செய்தேன் (Muyarchi Seydhēn) / முயற்சி செய்திருக்கிறேன் (Muyarchi Seydhirukkirēn),कोशिश करना (Kośiś Karnā) / कोशिश की (Kośiś Kī) / कोशिश कर चुका (Kośiś Kar Chukā)
220,Use / Used / Used,பயன்படுத்து (Payanpaḍuttu) / பயன்படுத்தினேன் (Payanpaḍuttinēn) / பயன்படுத்தியுள்ளேன் (Payanpaḍuttiyuḷḷēn),उपयोग करना (Upayog Karnā) / उपयोग किया (Upayog Kiyā) / उपयोग कर चुका (Upayog Kar Chukā)
221,Visit / Visited / Visited,பார்வையிடு (Pārvaeyiḍu) / பார்வையிட்டேன் (Pārvaeyiṭṭēn) / பார்வையிட்டிருக்கிறேன் (Pārvaeyiṭṭirukkirēn),दौरा करना (Daurā Karnā) / दौरा किया (Daurā Kiyā) / दौरा कर चुका (Daurā Kar Chukā)
222,Wait / Waited / Waited,காத்திரு (Kātthiru) / காத்திருந்தேன் (Kātthirundhēn) / காத்திருந்திருக்கிறேன் (Kātthirundhirukkirēn),इंतजार करना (Intazār Karnā) / इंतजार किया (Intazār Kiyā) / इंतजार कर चुका (Intazār Kar Chukā)
223,Walk / Walked / Walked,நட (Naḍa) / நடந்தேன் (Naḍandhēn) / நடந்திருக்கிறேன் (Naḍandhirukkirēn),चलना (Chalnā) / चला (Chalā) / चल चुका (Chal Chukā)
224,Want / Wanted / Wanted,விரும்பு (Virumbu) / விரும்பினேன் (Virumbinēn) / விரும்பியுள்ளேன் (Virumbiyuḷḷēn),चाहना (Chāhnā) / चाहा (Chāhā) / चाह चुका (Chāh Chukā)
225,Wash / Washed / Washed,கழுவு (Kaḻuvu) / கழுவினேன் (Kaḻuvinēn) / கழுவியுள்ளேன் (Kaḻuviyuḷḷēn),धोना (Dhonā) / धोया (Dhoyā) / धो चुका (Dho Chukā)
226,Watch / Watched / Watched,பார் (Pār) / பார்த்தேன் (Pārttēn) / பார்த்திருக்கிறேன் (Pārttirukkirēn),देखना (Dekhnā) / देखा (Dekhā) / देख चुका (Dekh Chukā)
227,Welcome / Welcomed / Welcomed,வரவேற்பு கொடு (Varavēṟpu Koḍu) / வரவேற்பு கொடுத்தேன் (Varavēṟpu Koḍuttēn) / வரவேற்பு கொடுத்திருக்கிறேன் (Varavēṟpu Koḍuttirukkirēn),स्वागत करना (Svāgat Karnā) / स्वागत किया (Svāgat Kiyā) / स्वागत कर चुका (Svāgat Kar Chukā)
228,Wipe / Wiped / Wiped,துடை (Tuḍai) / துடைத்தேன் (Tuḍaittēn) / துடைத்திருக்கிறேன் (Tuḍaittirukkirēn),पोंछना (Ponchnā) / पोंछा (Ponchā) / पोंछ चुका (Ponch Chukā)
229,Work / Worked / Worked,வேலை செய் (Vēlai Sey) / வேலை செய்தேன் (Vēlai Seydhēn) / வேலை செய்திருக்கிறேன் (Vēlai Seydhirukkirēn),काम करना (Kām Karnā) / काम किया (Kām Kiyā) / काम कर चुका (Kām Kar Chukā)
230,Worry / Worried / Worried,கவலைப்படு (Kavalaippaḍu) / கவலைப்பட்டேன் (Kavalaippaṭṭēn) / கவலைப்பட்டிருக்கிறேன் (Kavalaippaṭṭirukkirēn),चिंतित होना (Chintit Honā) / चिंतित हुआ (Chintit Huā) / चिंतित हो चुका (Chintit Ho Chukā)
231,Dare / Dared / Dared,துணி (Tuṇi) / துணிந்தேன் (Tuṇindhēn) / துணிந்திருக்கிறேன் (Tuṇindhirukkirēn),हिम्मत करना (Himmat Karnā) / हिम्मत की (Himmat Kī) / हिम्मत कर चुका (Himmat Kar Chukā)
232,Dive / Dived / Dived,நீரில் குதி (Nīril Kudhi) / நீரில் குதித்தேன் (Nīril Kudhittēn) / நீரில் குதித்திருக்கிறேன் (Nīril Kudhittirukkirēn),गोता लगाना (Gotā Lagānā) / गोता लगाया (Gotā Lagāyā) / गोता लगा चुका (Gotā Lagā Chukā)
233,Flee / Fled / Fled,ஓடிப்போ (Ōḍippō) / ஓடிப்போனேன் (Ōḍippōnēn) / ஓடிப்போயிருக்கிறேன் (Ōḍippōyirukkirēn),भाग जाना (Bhāg Jānā) / भाग गया (Bhāg Gayā) / भाग चुका (Bhāg Chukā)
234,Forbid / Forbade / Forbidden,தடை செய் (Taḍai Sey) / தடை செய்தேன் (Taḍai Seydhēn) / தடை செய்திருக்கிறேன் (Taḍai Seydhirukkirēn),मना करना (Manā Karnā) / मना किया (Manā Kiyā) / मना कर चुका (Manā Kar Chukā)
235,Forgo / Forewent / Foregone,விட்டுக்கொடு (Viṭṭukkoḍu) / விட்டுக்கொடுத்தேன் (Viṭṭukkoḍuttēn) / விட்டுக்கொடுத்திருக்கிறேன் (Viṭṭukkoḍuttirukkirēn),त्यागना (Tyāgnā) / त्यागा (Tyāgā) / त्याग चुका (Tyāg Chukā)
236,Forecast / Forecast / Forecast,முன்னறிவிப்பு செய் (Munnaṟivippu Sey) / முன்னறிவிப்பு செய்தேன் (Munnaṟivippu Seydhēn) / முன்னறிவிப்பு செய்திருக்கிறேன் (Munnaṟivippu Seydhirukkirēn),भविष्यवाणी करना (Bhaviṣyavāṇī Karnā) / भविष्यवाणी की (Bhaviṣyavāṇī Kī) / भविष्यवाणी कर चुका (Bhaviṣyavāṇī Kar Chukā)
237,Inlay / Inlaid / Inlaid,பதி (Padhi) / பதித்தேன் (Padhittēn) / பதித்திருக்கிறேன் (Padhittirukkirēn),जड़ना (Jaṛnā) / जड़ा (Jaṛā) / जड़ चुका (Jaṛ Chukā)
238,Leap / Leapt / Leapt,பாய்ச்சல் செய் (Pāychchal Sey) / பாய்ச்சல் செய்தேன் (Pāychchal Seydhēn) / பாய்ச்சல் செய்திருக்கிறேன் (Pāychchal Seydhirukkirēn),छलांग लगाना (Chhalāṅg Lagānā) / छलांग लगाई (Chhalāṅg Lagāī) / छलांग लगा चुका (Chhalāṅg Lagā Chukā)
239,Miscast / Miscast / Miscast,தவறாகத் தேர்ந்தெடு (Tavaṟāgath Tērndheḍu) / தவறாகத் தேர்ந்தெடுத்தேன் (Tavaṟāgath Tērndheḍuttēn) / தவறாகத் தேர்ந்தெடுத்திருக்கிறேன் (Tavaṟāgath Tērndheḍuttirukkirēn),गलत भूमिका देना (Galat Bhūmikā Denā) / गलत भूमिका दी (Galat Bhūmikā Dī) / गलत भूमिका दे चुका (Galat Bhūmikā De Chukā)
240,Overshoot / Overshot / Overshot,கடந்து செல் (Kaḍandhu Sel) / கடந்து சென்றேன் (Kaḍandhu Senṟēn) / கடந்து சென்றிருக்கிறேன் (Kaḍandhu Senṟirukkirēn),आगे निकल जाना (Āge Nikal Jānā) / आगे निकल गया (Āge Nikal Gayā) / आगे निकल चुका (Āge Nikal Chukā)
241,Quit / Quit / Quit,விலகு (Vilagu) / விலகினேன் (Vilaginēn) / விலகியுள்ளேன் (Vilagiyuḷḷēn),छोड़ देना (Choṛ Denā) / छोड़ दिया (Choṛ Diyā) / छोड़ चुका (Choṛ Chukā)
242,Shred / Shredded / Shredded,துண்டாக்கு (Tuṇḍākku) / துண்டாக்கினேன் (Tuṇḍākkinēn) / துண்டாக்கியுள்ளேன் (Tuṇḍākkiyuḷḷēn),टुकड़े करना (Ṭukṛe Karnā) / टुकड़े किए (Ṭukṛe Kiye) / टुकड़े कर चुका (Ṭukṛe Kar Chukā)
243,Slit / Slit / Slit,பிள (Piḷa) / பிளந்தேன் (Piḷandhēn) / பிளந்திருக்கிறேன் (Piḷandhirukkirēn),चीरना (Chīrnā) / चीरा (Chīrā) / चीर चुका (Chīr Chukā)
244,Spoil / Spoiled / Spoiled,கெடு (Keḍu) / கெடுத்தேன் (Keḍuttēn) / கெடுத்திருக்கிறேன் (Keḍuttirukkirēn),खराब करना (Kharāb Karnā) / खराब किया (Kharāb Kiyā) / खराब कर चुका (Kharāb Kar Chukā)
245,Spread / Spread / Spread,பரப்பு (Parappu) / பரப்பினேன் (Parappinēn) / பரப்பியுள்ளேன் (Parappiyuḷḷēn),फैलाना (Phailānā) / फैलाया (Phailāyā) / फैला चुका (Phailā Chukā)
246,Sting / Stung / Stung,கொட்டு (Koṭṭu) / கொட்டினேன் (Koṭṭinēn) / கொட்டியுள்ளேன் (Koṭṭiyuḷḷēn),डंक मारना (Ḍank Māranā) / डंक मारा (Ḍank Mārā) / डंक मार चुका (Ḍank Mār Chukā)
247,Strive / Strove / Striven,பாடுபடு (Pāḍupaḍu) / பாடுபட்டேன் (Pāḍupaṭṭēn) / பாடுபட்டிருக்கிறேன் (Pāḍupaṭṭirukkirēn),प्रयास करना (Prayās Karnā) / प्रयास किया (Prayās Kiyā) / प्रयास कर चुका (Prayās Kar Chukā)
248,Sublet / Sublet / Sublet,மீண்டும் குத்தகை விடு (Mīṇḍum Kutthagai Viḍu) / மீண்டும் குத்தகை விட்டேன் (Mīṇḍum Kutthagai Viṭṭēn) / மீண்டும் குத்தகை விட்டிருக்கிறேன் (Mīṇḍum Kutthagai Viṭṭirukkirēn),किराए पर देना (Kirāye Par Denā) / किराए पर दिया (Kirāye Par Diyā) / किराए पर दे चुका (Kirāye Par De Chukā)
249,Think / Thought / Thought,நினை (Niṉai) / நினைத்தேன் (Niṉaittēn) / நினைத்திருக்கிறேன் (Niṉaittirukkirēn),सोचना (Sochnā) / सोचा (Sochā) / सोच चुका (Soch Chukā)
250,Undergo / Underwent / Undergone,அனுபவி (Anubhavi) / அனுபவித்தேன் (Anubhavittēn) / அனுபவித்திருக்கிறேன் (Anubhavittirukkirēn),गुज़रना (Guzarnā) / गुज़रा (Guzarā) / गुज़र चुका (Guzar Chukā)
251,Understand / Understood / Understood,புரிந்து கொள் (Purindhu Koḷ) / புரிந்து கொண்டேன் (Purindhu Koṇḍēn) / புரிந்து கொண்டிருக்கிறேன் (Purindhu Koṇḍirukkirēn),समझना (Samajhnā) / समझा (Samjhā) / समझ चुका (Samajh Chukā)
252,Upset / Upset / Upset,மன வருத்தம் அடை (Maṉa Varuttham Aḍai) / மன வருத்தம் அடைந்தேன் (Maṉa Varuttham Aḍaindhēn) / மன வருத்தம் அடைந்திருக்கிறேன் (Maṉa Varuttham Aḍaindhirukkirēn),परेशान करना (Pareshān Karnā) / परेशान किया (Pareshān Kiyā) / परेशान कर चुका (Pareshān Kar Chukā)
253,Bet / Bet / Bet,பந்தயம் கட்டு (Pandhayam Kaṭṭu) / பந்தயம் கட்டினேன் (Pandhayam Kaṭṭinēn) / பந்தயம் கட்டியுள்ளேன் (Pandhayam Kaṭṭiyuḷḷēn),शर्त लगाना (Śart Lagānā) / शर्त लगाई (Śart Lagāī) / शर्त लगा चुका (Śart Lagā Chukā)
254,Burst / Burst / Burst,வெடி (Veḍi) / வெடித்தது (Veḍitthadhu) / வெடித்திருக்கிறது (Veḍitthirukkiradhu),फटना (Phaṭnā) / फटा (Phaṭā) / फट चुका (Phaṭ Chukā)
255,Cast / Cast / Cast,வீசு (Vīsu) / வீசினேன் (Vīsinēn) / வீசியுள்ளேன் (Vīsiuḷḷēn),फेंकना (Phenknā) / फेंका (Phenkā) / फेंक चुका (Phenk Chukā)
256,Deal / Dealt / Dealt,வியாபாரம் செய் (Viyābāram Sey) / வியாபாரம் செய்தேன் (Viyābāram Seydhēn) / வியாபாரம் செய்திருக்கிறேன் (Viyābāram Seydhirukkirēn),व्यवहार करना (Vyavahār Karnā) / व्यवहार किया (Vyavahār Kiyā) / व्यवहार कर चुका (Vyavahār Kar Chukā)
257,Dig / Dug / Dug,தோண்டு (Tōṇḍu) / தோண்டினேன் (Tōṇḍinēn) / தோண்டியுள்ளேன் (Tōṇḍiyuḷḷēn),खोदना (Khodnā) / खोदा (Khodā) / खोद चुका (Khod Chukā)
258,Fling / Flung / Flung,எறி (Eṟi) / எறிந்தேன் (Eṟindhēn) / எறிந்திருக்கிறேன் (Eṟindhirukkirēn),फेंकना (Phenknā) / फेंका (Phenkā) / फेंक चुका (Phenk Chukā)
259,Grind / Ground / Ground,அரை (Arai) / அரைத்தேன் (Araittēn) / அரைத்திருக்கிறேன் (Araittirukkirēn),पीसना (Pīsnā) / पीसा (Pīsā) / पीस चुका (Pīs Chukā)
260,Lead / Led / Led,வழிநடத்து (Vaḻinaḍattu) / வழிநடத்தினேன் (Vaḻinaḍattinēn) / வழிநடத்தியுள்ளேன் (Vaḻinaḍattiyuḷḷēn),नेतृत्व करना (Netṛtv Karnā) / नेतृत्व किया (Netṛtv Kiyā) / नेतृत्व कर चुका (Netṛtv Kar Chukā)
261,Lend / Lent / Lent,கடன் கொடு (Kaḍan Koḍu) / கடன் கொடுத்தேன் (Kaḍan Koḍuttēn) / கடன் கொடுத்திருக்கிறேன் (Kaḍan Koḍuttirukkirēn),उधार देना (Udhār Denā) / उधार दिया (Udhār Diyā) / उधार दे चुका (Udhār De Chukā)
262,Mistake / Mistook / Mistaken,தவறு செய் (Tavaṟu Sey) / தவறு செய்தேன் (Tavaṟu Seydhēn) / தவறு செய்திருக்கிறேன் (Tavaṟu Seydhirukkirēn),गलती करना (Galtī Karnā) / गलती की (Galtī Kī) / गलती कर चुका (Galtī Kar Chukā)
263,Overhear / Overheard / Overheard,ஒட்டுக்கேள் (Oṭṭukkēḷ) / ஒட்டுக்கேட்டேன் (Oṭṭukkēṭṭēn) / ஒட்டுக்கேட்டிருக்கிறேன் (Oṭṭukkēṭṭirukkirēn),चोरी से सुनना (Chorī Se Sunnā) / चोरी से सुना (Chorī Se Sunā) / चोरी से सुन चुका (Chorī Se Sun Chukā)
264,Prove / Proved / Proven,நிரூபி (Nirūpi) / நிரூபித்தேன் (Nirūpittēn) / நிரூபித்திருக்கிறேன் (Nirūpittirukkirēn),साबित करना (Sābit Karnā) / साबित किया (Sābit Kiyā) / साबित कर चुका (Sābit Kar Chukā)
265,Ride / Rode / Ridden,ஓட்டு (Ōṭṭu) / ஓட்டினேன் (Ōṭṭinēn) / ஓட்டியுள்ளேன் (Ōṭṭiyuḷḷēn),सवारी करना (Savārī Karnā) / सवारी की (Savārī Kī) / सवारी कर चुका (Savārī Kar Chukā)
266,Seek / Sought / Sought,தேடு (Tēḍu) / தேடினேன் (Tēḍinēn) / தேடியுள்ளேன் (Tēḍiyuḷḷēn),तलाश करना (Talāś Karnā) / तलाश की (Talāś Kī) / तलाश कर चुका (Talāś Kar Chukā)
267,Shine / Shone / Shone,ஒளிவீசு (Oḷivīsu) / ஒளிவீசினேன் (Oḷivīsinēn) / ஒளிவீசியுள்ளேன் (Oḷivīsiuḷḷēn),चमकना (Chamaknā) / चमका (Chamakā) / चमक चुका (Chamak Chukā)
268,Sit / Sat / Sat,உட்கார் (Uṭkār) / உட்கார்ந்தேன் (Uṭkārndhēn) / உட்கார்ந்திருக்கிறேன் (Uṭkārndhirukkirēn),बैठना (Baiṭhnā) / बैठा (Baiṭhā) / बैठ चुका (Baiṭh Chukā)
269,Spin / Span / Spun,சுழற்று (Suḻaṟṟu) / சுழற்றினேன் (Suḻaṟṟinēn) / சுழற்றியுள்ளேன் (Suḻaṟṟiyuḷḷēn),घुमाना (Ghumānā) / घुमाया (Ghumāyā) / घुमा चुका (Ghumā Chukā)
270,Spit / Spit / Spit,உமிழ் (Umiḻ) / உமிழ்ந்தேன் (Umiḻndhēn) / உமிழ்ந்திருக்கிறேன் (Umiḻndhirukkirēn),थूकना (Thūknā) / थूका (Thūkā) / थूक चुका (Thūk Chukā)
271,Steal / Stole / Stolen,திருடு (Tiruḍu) / திருடினேன் (Tiruḍinēn) / திருடியுள்ளேன் (Tiruḍiyuḷḷēn),चुराना (Churānā) / चुराया (Churāyā) / चुरा चुका (Churā Chukā)
272,Stick / Stuck / Stuck,ஒட்டு (Oṭṭu) / ஒட்டினேன் (Oṭṭinēn) / ஒட்டியுள்ளேன் (Oṭṭiyuḷḷēn),चिपकना (Chīpaknā) / चिपका (Chīpakā) / चिपक चुका (Chīpak Chukā)
273,Stink / Stank / Stunk,நாற்றம் அடி (Nāṟṟam Aḍi) / நாற்றம் அடித்தது (Nāṟṟam Aḍitthadhu) / நாற்றம் அடித்திருக்கிறது (Nāṟṟam Aḍitthirukkiradhu),बदबू आना (Badbū Ānā) / बदबू आई (Badbū Āī) / बदबू आ चुका (Badbū Ā Chukā)
274,Swear / Swore / Sworn,சத்தியம் செய் (Saththiyam Sey) / சத்தியம் செய்தேன் (Saththiyam Seydhēn) / சத்தியம் செய்திருக்கிறேன் (Saththiyam Seydhirukkirēn),कसम खाना (Kasam Khānā) / कसम खाई (Kasam Khāī) / कसम खा चुका (Kasam Khā Chukā)
275,Tear / Tore / Torn,கிழி (Kiḻi) / கிழித்தேன் (Kiḻittēn) / கிழித்திருக்கிறேன் (Kiḻittirukkirēn),फाड़ना (Phāṛnā) / फाड़ा (Phāṛā) / फाड़ चुका (Phāṛ Chukā)
276,Throw / Threw / Thrown,எறி (Eṟi) / எறிந்தேன் (Eṟindhēn) / எறிந்திருக்கிறேன் (Eṟindhirukkirēn),फेंकना (Phenknā) / फेंका (Phenkā) / फेंक चुका (Phenk Chukā)
277,Tread / Trod / Trodden,மிதி (Mithi) / மிதித்தேன் (Mithittēn) / மிதித்திருக்கிறேன் (Mithittirukkirēn),चलना (Chalnā) / चला (Chalā) / चल चुका (Chal Chukā)
278,Weave / Wove / Woven,நெய் (Ney) / நெய்தேன் (Neydhēn) / நெய்திருக்கிறேன் (Neydhirukkirēn),बुनना (Bunnā) / बुना (Bunā) / बुन चुका (Bun Chukā)
279,Wet / Wet / Wet,நனை (Naṉai) / நனைத்தேன் (Naṉaittēn) / நனைத்திருக்கிறேன் (Naṉaittirukkirēn),गीला करना (Gīlā Karnā) / गीला किया (Gīlā Kiyā) / गीला कर चुका (Gīlā Kar Chukā)
280,Abide / Abode / Abided,சகித்துக்கொள் (Sagitthukkoḷ) / சகித்துக்கொண்டேன் (Sagitthukkoṇḍēn) / சகித்துக்கொண்டிருக்கிறேன் (Sagitthukkoṇḍirukkirēn),पालन करना (Pālan Karnā) / पालन किया (Pālan Kiyā) / पालन कर चुका (Pālan Kar Chukā)
281,Alight / Alit / Alit,இறங்கு (Iṟaṅgu) / இறங்கினேன் (Iṟaṅginēn) / இறங்கியுள்ளேன் (Iṟaṅgiyuḷḷēn),उतरना (Utarnā) / उत्तरा (Uttarā) / उतर चुका (Utar Chukā)
282,Arouse / Aroused / Aroused,தூண்டு (Tūṇḍu) / தூண்டினேன் (Tūṇḍinēn) / தூண்டியுள்ளேன் (Tūṇḍiyuḷḷēn),जगाना (Jagānā) / जगाया (Jagāyā) / जगा चुका (Jagā Chukā)
283,Awake / Awoke / Awoken,விழித்தெழு (Viḻittheḻu) / விழித்தெழுந்தேன் (Viḻittheḻundhēn) / விழித்தெழுந்திருக்கிறேன் (Viḻittheḻundhirukkirēn),जागना (Jāgnā) / जागा (Jāgā) / जाग चुका (Jāg Chukā)
284,Backbite / Backbit / Backbitten,புறங்கூறு (Puṟaṅgūṟu) / புறங்கூறினேன் (Puṟaṅgūṟinēn) / புறங்கூறியுள்ளேன் (Puṟaṅgūṟiyuḷḷēn),चुगली करना (Chuglī Karnā) / चुगली की (Chuglī Kī) / चुगली कर चुका (Chuglī Kar Chukā)
285,Behold / Beheld / Beheld,பார் (Pār) / பார்த்தேன் (Pārttēn) / பார்த்திருக்கிறேன் (Pārttirukkirēn),देखना (Dekhnā) / देखा (Dekhā) / देख चुका (Dekh Chukā)
286,Cling / Clung / Clung,ஒட்டிக்கொள் (Oṭṭikkoḷ) / ஒட்டிக்கொண்டேன் (Oṭṭikkoṇḍēn) / ஒட்டிக்கொண்டிருக்கிறேன் (Oṭṭikkoṇḍirukkirēn),चिपकना (Chipaknā) / चिपका (Chipkā) / चिपक चुका (Chipak Chukā)
287,Drive / Drove / Driven,ஓட்டு (Ōṭṭu) / ஓட்டினேன் (Ōṭṭinēn) / ஓட்டியுள்ளேன் (Ōṭṭiyuḷḷēn),चलाना (Chalānā) / चलाया (Chalāyā) / चला चुका (Chalā Chukā)
288,Fall / Fell / Fallen,விழு (Viḻu) / விழுந்தேன் (Viḻundhēn) / விழுந்திருக்கிறேன் (Viḻundhirukkirēn),गिरना (Girnā) / गिरा (Girā) / गिर चुका (Gir Chukā)
289,Freeze / Froze / Frozen,உறை (Uṟai) / உறைந்தேன் (Uṟaindhēn) / உறைந்திருக்கிறேன் (Uṟaindhirukkirēn),जमना (Jamnā) / जमा (Jamā) / जम चुका (Jam Chukā)
290,Give / Gave / Given,கொடு (Koḍu) / கொடுத்தேன் (Koḍuttēn) / கொடுத்திருக்கிறேன் (Koḍuttirukkirēn),देना (Denā) / दिया (Diyā) / दे चुका (De Chukā)
291,Hide / Hid / Hidden,மறை (Maṟai) / மறைத்தேன் (Maṟaittēn) / மறைத்திருக்கிறேன் (Maṟaittirukkirēn),छिपाना (Chhipānā) / छिपाया (Chhipāyā) / छिपा चुका (Chhipā Chukā)
292,Lie / Lay / Lain,படுத்துக்கொள் (Paḍuttukkoḷ) / படுத்துக்கொண்டேன் (Paḍuttukkoṇḍēn) / படுத்துக்கொண்டிருக்கிறேன் (Paḍuttukkoṇḍirukkirēn),लेटना (Leṭnā) / लेटा (Leṭā) / लेट चुका (Leṭ Chukā)
293,Pay / Paid / Paid,செலுத்து (Seluttu) / செலுத்தினேன் (Seluttinēn) / செலுத்தியுள்ளேன் (Seluttiyuḷḷēn),भुगतान करना (Bhugtān Karnā) / भुगतान किया (Bhugtān Kiyā) / भुगतान कर चुका (Bhugtān Kar Chukā)
294,See / Saw / Seen,பார் (Pār) / பார்த்தேன் (Pārttēn) / பார்த்திருக்கிறேன் (Pārttirukkirēn),देखना (Dekhnā) / देखा (Dekhā) / देख चुका (Dekh Chukā)
295,Shoot / Shot / Shot,சுடு (Suḍu) / சுட்டேன் (Suṭṭēn) / சுட்டிருக்கிறேன் (Suṭṭirukkirēn),गोली मारना (Golī Māranā) / गोली मारी (Golī Mārī) / गोली मार चुका (Golī Mār Chukā)
296,Steal / Stole / Stolen,திருடு (Tiruḍu) / திருடினேன் (Tiruḍinēn) / திருடியுள்ளேன் (Tiruḍiyuḷḷēn),चुराना (Churānā) / चुराया (Churāyā) / चुरा चुका (Churā Chukā)
297,Swear / Swore / Sworn,சத்தியம் செய் (Saththiyam Sey) / சத்தியம் செய்தேன் (Saththiyam Seydhēn) / சத்தியம் செய்திருக்கிறேன் (Saththiyam Seydhirukkirēn),शपथ लेना (Śapath Lenā) / शपथ ली (Śapath Lī) / शपथ ले चुका (Śapath Le Chukā)
298,Take / Took / Taken,எடு (Eḍu) / எடுத்தேன் (Eḍuttēn) / எடுத்திருக்கிறேன் (Eḍuttirukkirēn),लेना (Lenā) / लिया (Liyā) / ले चुका (Le Chukā)
