English (V1/V2/V3),Day (Col B),Difficulty,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples (V1 // V2 // V3),Tamil Examples (V1 // V2 // V3),Hindi Examples (V1 // V2 // V3)
Deflate / Deflated / Deflated,Day 82,Advanced,காற்றை வெளியேற்று / ஏற்றினேன் / ஏற்றியுள்ளேன்,हवा निकालना / निकाली / निकाल चुका,1. Deflate the tire. 2. He deflated it. 3. It was deflated.,1. காற்றை இறக்கு. 2. அவர் இறக்கினார். 3. அது இறக்கப்பட்டது.,1. टायर की हवा निकालो। 2. उसने निकाली। 3. निकाली गई।
Deflect / Deflected / Deflected,Day 83,Advanced,திசைதிருப்பு / திருப்பினேன் / திருப்பியுள்ளேன்,मोड़ना / मोड़ा / मोड़ चुका,1. Deflect it. 2. He deflected it. 3. It was deflected.,1. திசைதிருப்பு. 2. அவர் திசைதிருப்புனார். 3. அது திசைதிருப்பப்பட்டது.,1. विक्षेपित करो। 2. उसने किया। 3. किया गया।
Deflower / Deflowered / Deflowered,Day 83,Advanced,கற்பழி / அழித்தேன் / அழித்துள்ளேன்,कौमार्य भंग करना / किया / चुका,1. Deflower it. 2. He deflowered it. 3. It was deflowered.,1. பறிக்கவும். 2. அவர் பறித்தார். 3. அது பறிக்கப்பட்டது.,1. इसे तोड़ो। 2. उसने तोड़ा। 3. तोड़ा गया।
Deform / Deformed / Deformed,Day 83,Advanced,உருமாற்று / மாற்றினேன் / மாற்றியுள்ளேன்,विरूपित करना / किया / कर चुका,1. Deform the shape. 2. He deformed it. 3. It was deformed.,1. வடிவத்தை மாற்று. 2. அவர் மாற்றினார். 3. அது மாற்றப்பட்டது.,1. रूप बिगाड़ो। 2. उसने बिगाड़ा। 3. बिगाड़ा गया।
Defraud / Defrauded / Defrauded,Day 83,Advanced,மோசடி செய் / செய்தேன் / செய்துள்ளேன்,ठगना / ठगा / ठग चुका,1. Defraud him. 2. He defrauded it. 3. It was defrauded.,1. ஏமாற்று. 2. அவர் ஏமாற்றினார். 3. அவர் ஏமாற்றப்பட்டார்.,1. धोखा दो। 2. उसने दिया। 3. दिया गया।
Defray / Defrayed / Defrayed,Day 83,Advanced,செலவை ஏற்றுக்கொள் / கொண்டேன் / கொண்டுள்ளேன்,खर्च चुकाना / चुकाया / चुका चुका,1. Defray the cost. 2. He defrayed it. 3. It was defrayed.,1. செலவை ஏற்றுக்கொள். 2. அவர் ஏற்றார். 3. அது ஏற்கப்பட்டது.,1. लागत का भुगतान करो। 2. उसने किया। 3. किया गया।
Defrost / Defrosted / Defrosted,Day 84,Advanced,பனிக்கட்டியை உருக்கு / உருக்கினேன் / உருக்கியுள்ளேன்,बर्फ पिघलाना / पिघलाई / चुका,1. Defrost it. 2. He defrosted it. 3. It was defrosted.,1. பனியை உருக்கு. 2. அவர் உருக்கினார். 3. அது உருக்கப்பட்டது.,1. बर्फ पिघलाओ। 2. उसने पिघलाई। 3. पिघलाई गई।
Defuse / Defused / Defused,Day 84,Advanced,செயலற்றதாக்கு (வெடிகுண்டு) / ஆக்கினேன்,निष्क्रिय करना / किया / कर चुका,1. Defuse it. 2. He defused it. 3. It was defused.,1. செயலிழக்கச் செய். 2. அவர் செய்தார். 3. அது செய்யப்பட்டது.,1. निष्क्रिय करो। 2. उसने किया। 3. किया गया।
Defy / Defied / Defied,Day 84,Advanced,எதிர்த்து நில் / நின்றேன் / நின்றுள்ளேன்,चुनौती देना / दी / दे चुका,1. Defy them. 2. He defied it. 3. It was defied.,1. எதிர்த்து நில். 2. அவர் எதிர்த்தார். 3. அது எதிர்க்கப்பட்டது.,1. चुनौती दो। 2. उसने दी। 3. दी गई।
Degenerate / Degenerated / Degenerated,Day 84,Advanced,தரம் தாழ் / தாழ்ந்தேன் / தாழ்ந்துள்ளேன்,पतित होना / हुआ / हो चुका,1. Degenerate fast. 2. It degenerated. 3. It was degenerated.,1. சீரழிந்து போ. 2. அது சீரழிந்தது. 3. அது சீரழிக்கப்பட்டது.,1. पतन हो। 2. पतन हुआ। 3. पतन किया गया।
Degrade / Degraded / Degraded,Day 84,Advanced,தரம் குறை / குறைத்தேன் / குறைத்துள்ளேன்,अपमानित करना / किया / कर चुका,1. Degrade it. 2. He degraded it. 3. It was degraded.,1. தரம் குறை. 2. அவர் குறைத்தார். 3. அது குறைக்கப்பட்டது.,1. अपमानित करो। 2. उसने किया। 3. किया गया।
Dehumanize / Dehumanized / Dehumanized,Day 85,Advanced,மனிதாபிமானமற்றதாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,अमानवीय बनाना / बनाया / बना चुका,1. Dehumanize him. 2. He dehumanized it. 3. It was dehumanized.,1. மனிதாபிமானமின்றி நடத்து. 2. அவர் செய்தார். 3. அது செய்யப்பட்டது.,1. अमानवीय व्यवहार करो। 2. उसने किया। 3. किया गया।
Dehydrate / Dehydrated / Dehydrated,Day 85,Advanced,நீர்ச்சத்தை நீக்கு / நீக்கினேன் / நீக்கியுள்ளேன்,निर्जलीकरण करना / किया / चुका,1. Dehydrate it. 2. He dehydrated it. 3. It was dehydrated.,1. உலரவை. 2. அவர் உலரவைத்தார். 3. அது உலரவைக்கப்பட்டது.,1. निर्जलीकृत करो। 2. उसने किया। 3. किया गया।
Deify / Deified / Deified,Day 85,Advanced,தெய்வமாகப் போற்று / போற்றினேன் / போற்றியுள்ளேன்,देवता मानना / माना / मान चुका,1. Deify him. 2. He deified it. 3. It was deified.,1. தெய்வமாக வழிபடு. 2. அவர் வழிபட்டார். 3. அது வழிபடப்பட்டது.,1. देवता मानो। 2. उसने माना। 3. माना गया।
Deign / Deigned / Deigned,Day 85,Advanced,இறங்கி வந்து செய் / செய்தேன் / செய்துள்ளேன்,अनुग्रह करना / किया / कर चुका,1. Deign to speak. 2. He deigned it. 3. It was deigned.,1. பேச முன்வரு. 2. அவர் முன்வந்தார். 3. அது செய்யப்பட்டது.,1. बोलने की कृपा करो। 2. उसने कृपा की। 3. कृपा की गई।
Delay / Delayed / Delayed,Day 85,Advanced,தாமதப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,विलंब करना / किया / कर चुका,1. Delay it. 2. He delayed it. 3. It was delayed.,1. தாமதப்படுத்து. 2. அவர் தாமதப்படுத்தினார். 3. அது தாமதப்படுத்தப்பட்டது.,1. देरी करो। 2. उसने की। 3. की गई।
Delegate / Delegated / Delegated,Day 86,Advanced,பொறுப்பை ஒப்படை / ஒப்படைத்தேன் / ஒப்படைத்துள்ளேன்,प्रतिनिधि चुनना / चुना / चुका,1. Delegate the task. 2. He delegated it. 3. It was delegated.,1. பணியைப் பகிர்ந்தளி. 2. அவர் அளித்தார். 3. அது அளிக்கப்பட்டது.,1. कार्य सौंपो। 2. उसने सौंपा। 3. सौंपा गया।
Delete / Deleted / Deleted,Day 86,Advanced,நீக்கு / நீக்கினேன் / நீக்கியுள்ளேன்,मिटाना / मिटाया / मिटा चुका,1. Delete the file. // 2. He deleted it. // 3. It was deleted.,1. கோப்பை அழி. // 2. அவர் அதை அழித்தார். // 3. அது அழிக்கப்பட்டது.,1. फाइल मिटाओ। // 2. उसने इसे मिटाया। // 3. इसे मिटाया गया।
Deliberate / Deliberated / Deliberated,Day 86,Advanced,ஆலோசி / ஆலோசித்தேன் / ஆலோசித்துள்ளேன்,विचार-विमर्श करना / किया / चुका,1. Deliberate on this. // 2. He deliberated. // 3. It was deliberated.,1. இதைப் பற்றி ஆலோசி. // 2. அவர் ஆலோசித்தார். // 3. அது ஆலோசிக்கப்பட்டது.,1. इस पर विचार करो। // 2. उसने विचार किया। // 3. इस पर विचार किया गया।
Delineate / Delineated / Delineated,Day 86,Advanced,விவரித்துக் காட்டு / காட்டினேன் / காட்டியுள்ளேன்,रूपरेखा बताना / बताई / बता चुका,1. Delineate the boundary. // 2. He delineated it. // 3. It was delineated.,1. எல்லையை வரையறு. // 2. அவர் அதை வரையறுத்தார். // 3. அது வரையறுக்கப்பட்டது.,1. सीमा का चित्रण करो। // 2. उसने इसका चित्रण किया। // 3. इसका चित्रण किया गया।
Delight / Delighted / Delighted,Day 86,Advanced,மகிழ்ச்சியூட்டு / ஊட்டினேன் / ஊட்டியுள்ளேன்,आनंदित करना / किया / कर चुका,1. Delight the audience. // 2. He delighted us. // 3. We were delighted.,1. பார்வையாளர்களை மகிழ்வி. // 2. அவர் எங்களை மகிழ்வித்தார். // 3. நாங்கள் மகிழ்ச்சியடைந்தோம்.,1. दर्शकों को आनंदित करो। // 2. उसने हमें आनंदित किया। // 3. हम आनंदित हुए।
Delimitate / Delimitated / Delimitated,Day 87,Advanced,எல்லை வகு / வகுத்தேன் / வகுத்துள்ளேன்,सीमा निर्धारित करना / की / चुका,1. Delimitate the zone. // 2. He delimitated it. // 3. It was delimitated.,1. மண்டலத்திற்கு எல்லை வகு. // 2. அவர் அதற்கு எல்லை வகுத்தார். // 3. அதற்கு எல்லை வகுக்கப்பட்டது.,1. क्षेत्र का सीमांकन करो। // 2. उसने इसका सीमांकन किया। // 3. इसका सीमांकन किया गया।
Deliver / Delivered / Delivered,Day 87,Advanced,விநியோகி / விநியோகித்தேன் / விநியோகித்துள்ளேன்,वितरित करना / किया / कर चुका,1. Deliver the package. // 2. He delivered it. // 3. It was delivered.,1. பொட்டலத்தை விநியோகி. // 2. அவர் அதை விநியோகித்தார். // 3. அது விநியோகிக்கப்பட்டது.,1. पैकेट पहुँचाओ। // 2. उसने इसे पहुँचाया। // 3. यह पहुँचाया गया।
Delude / Deluded / Deluded,Day 87,Advanced,ஏமாற்று / ஏமாற்றினேன் / ஏமாற்றியுள்ளேன்,भ्रमित करना / किया / कर चुका,1. Don't delude yourself. // 2. He deluded me. // 3. I was deluded.,1. உன்னை ஏமாற்றிக்கொள்ளாதே. // 2. அவர் என்னை ஏமாற்றினார். // 3. நான் ஏமாற்றப்பட்டேன்.,1. खुद को धोखा मत दो। // 2. उसने मुझे धोखा दिया। // 3. मुझे धोखा दिया गया।
Deluge / Deluged / Deluged,Day 87,Advanced,வெள்ளத்தில் மூழ்கடி / அடித்தேன் / அடித்துள்ளேன்,जलमग्न करना / किया / कर चुका,1. Deluge the city. // 2. It deluged us. // 3. We were deluged.,1. நகரத்தை மூழ்கடி. // 2. அது எங்களை மூழ்கடித்தது. // 3. நாங்கள் மூழ்கடிக்கப்பட்டோம்.,1. शहर को डुबो दो। // 2. इसने हमें डुबो दिया। // 3. हम डूब गए।
Delve / Delved / Delved,Day 87,Advanced,துருவி ஆராய் / ஆராய்ந்தேன் / ஆராய்ந்துள்ளேன்,छानबीन करना / की / कर चुका,1. Delve into the case. // 2. He delved into it. // 3. It was delved into.,1. வழக்கை ஆராய்ந்து பார். // 2. அவர் அதை ஆராய்ந்து பார்த்தார். // 3. அது ஆராய்ந்து பார்க்கப்பட்டது.,1. मामले की छानबीन करो। // 2. उसने छानबीन की। // 3. छानबीन की गई।
Demagnetize / Demagnetized / Demagnetized,Day 88,Advanced,காந்தத்தன்மையை நீக்கு / நீக்கினேன் / நீக்கியுள்ளேன்,विचुंबकित करना / किया / चुका,1. Demagnetize the strip. // 2. He demagnetized it. // 3. It was demagnetized.,1. காந்தத்தன்மையை நீக்கு. // 2. அவர் அதன் காந்தத்தன்மையை நீக்கினார். // 3. அதன் காந்தத்தன்மை நீக்கப்பட்டது.,1. पट्टी का चुंबकत्व हटाओ। // 2. उसने इसका चुंबकत्व हटाया। // 3. इसका चुंबकत्व हटाया गया।
Demand / Demanded / Demanded,Day 88,Advanced,கோரு / கோரினேன் / கோரியுள்ளேன்,माँग करना / की / कर चुका,1. Demand an answer. // 2. He demanded it. // 3. It was demanded.,1. பதில் கோரு. // 2. அவர் அதை கோரினார். // 3. அது கோரப்பட்டது.,1. जवाब की मांग करो। // 2. उसने मांग की। // 3. मांग की गई।
Demarcate / Demarcated / Demarcated,Day 88,Advanced,எல்லை பிரி / பிரித்தேன் / பிரித்துள்ளேன்,सीमांकन करना / किया / कर चुका,1. Demarcate the border. // 2. He demarcated it. // 3. It was demarcated.,1. எல்லையை அடையாளமிடு. // 2. அவர் அதை அடையாளமிட்டார். // 3. அது அடையாளமிடப்பட்டது.,1. सीमा का निर्धारण करो। // 2. उसने निर्धारण किया। // 3. निर्धारण किया गया।
Demean / Demeaned / Demeaned,Day 88,Advanced,தரம் தாழ்த்தி நட / நடத்தினேன் / நடத்தியுள்ளேன்,नीचा दिखाना / दिखाया / दिखा चुका,1. Don't demean yourself. // 2. He demeaned me. // 3. I was demeaned.,1. உன்னைத் தாழ்த்திக் கொள்ளாதே. // 2. அவர் என்னைத் தாழ்த்தினார். // 3. நான் தாழ்த்தப்பட்டேன்.,1. खुद को नीचा मत दिखाओ। // 2. उसने मुझे नीचा दिखाया। // 3. मुझे नीचा दिखाया गया।
Demolish / Demolished / Demolished,Day 88,Advanced,இடித்துத் தரைமட்டமாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,ध्वस्त करना / किया / कर चुका,1. Demolish the building. // 2. He demolished it. // 3. It was demolished.,1. கட்டிடத்தை இடி. // 2. அவர் அதை இடித்தார். // 3. அது இடிக்கப்பட்டது.,1. इमारत को ध्वस्त करो। // 2. उसने इसे ध्वस्त किया। // 3. इसे ध्वस्त किया गया।
Demonize / Demonized / Demonized,Day 89,Advanced,அரக்கனாகச் சித்தரி / சித்தரித்தேன் / சித்தரித்துள்ளேன்,दानवीकरण करना / किया / चुका,1. Don't demonize him. // 2. They demonized him. // 3. He was demonized.,1. அவனை அரக்கனாகச் சித்தரிக்காதே. // 2. அவர்கள் அவனை அரக்கனாகச் சித்தரித்தனர். // 3. அவன் அரக்கனாகச் சித்தரிக்கப்பட்டான்.,1. उसे राक्षस मत बनाओ। // 2. उन्होंने उसे राक्षस बनाया। // 3. उसे राक्षस बनाया गया।
Demonstrate / Demonstrated / Demonstrated,Day 89,Advanced,செய்துகாட்டு / காட்டினேன் / காட்டியுள்ளேன்,प्रदर्शन करना / किया / कर चुका,1. Demonstrate the product. // 2. He demonstrated it. // 3. It was demonstrated.,1. தயாரிப்பைச் செயல்முறைப்படுத்திக் காட்டு. // 2. அவர் அதைச் செயல்முறைப்படுத்திக் காட்டினார். // 3. அது செயல்முறைப்படுத்திக் காட்டப்பட்டது.,1. उत्पाद का प्रदर्शन करो। // 2. उसने इसका प्रदर्शन किया। // 3. इसका प्रदर्शन किया गया।
Demoralize / Demoralized / Demoralized,Day 89,Advanced,மன உறுதியைக் குலை / குலைத்தேன் / குலைத்துள்ளேன்,हतोत्साहित करना / किया / चुका,1. Don't demoralize us. // 2. He demoralized us. // 3. We were demoralized.,1. எங்கள் மனதைக் குலைக்காதே. // 2. அவர் எங்கள் மனதைக் குலைத்தார். // 3. எங்கள் மனம் குலைக்கப்பட்டது.,1. हमारा मनोबल मत गिराओ। // 2. उसने हमारा मनोबल गिराया। // 3. हमारा मनोबल गिराया गया।
Demote / Demoted / Demoted,Day 89,Advanced,பதவி இறக்கு / இறக்கினேன் / இறக்கியுள்ளேன்,पदावनति करना / की / कर चुका,1. Demote the officer. // 2. They demoted him. // 3. He was demoted.,1. அதிகாரியைப் பதவி இறக்கம் செய். // 2. அவர்கள் அவரைப் பதவி இறக்கம் செய்தனர். // 3. அவர் பதவி இறக்கம் செய்யப்பட்டார்.,1. अधिकारी को पदावनत करो। // 2. उन्होंने उसे पदावनत किया। // 3. उसे पदावनत किया गया।
Demur / Demurred / Demurred,Day 89,Advanced,ஆட்சேபி / ஆட்சேபித்தேன் / ஆட்சேபித்துள்ளேன்,आपत्ति करना / की / कर चुका,1. Do not demur. // 2. He demurred. // 3. (Intransitive),1. ஆட்சேபிக்காதே. // 2. அவர் ஆட்சேபித்தார். // 3. (பொருந்தாது),1. आपत्ति मत करो। // 2. उसने आपत्ति की। // 3. (लागू नहीं)
Denationalize / Denationalized / Denationalized,Day 90,Advanced,தனியார்மயமாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,विराष्ट्रीयकरण करना / किया / चुका,1. Denationalize the bank. // 2. They denationalized it. // 3. It was denationalized.,1. வங்கியைத் தனியார்மயமாக்கு. // 2. அவர்கள் அதைத் தனியார்மயமாக்கினர். // 3. அது தனியார்மயமாக்கப்பட்டது.,1. बैंक का निजीकरण करो। // 2. उन्होंने इसका निजीकरण किया। // 3. इसका निजीकरण किया गया।
Denigrate / Denigrated / Denigrated,Day 90,Advanced,இழிவுபடுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,बदनाम करना / किया / कर चुका,1. Don't denigrate him. // 2. He denigrated me. // 3. I was denigrated.,1. அவனை இழிவுபடுத்தாதே. // 2. அவர் என்னை இழிவுபடுத்தினார். // 3. நான் இழிவுபடுத்தப்பட்டேன்.,1. उसे बदनाम मत करो। // 2. उसने मुझे बदनाम किया। // 3. मुझे बदनाम किया गया।
Denominate / Denominated / Denominated,Day 90,Advanced,பெயரிடு / இட்டேன் / இட்டுள்ளேன்,नामित करना / किया / कर चुका,1. Denominate the sum. // 2. He denominated it. // 3. It was denominated.,1. தொகைக்குப் பெயரிடு. // 2. அவர் அதற்குப் பெயரிட்டார். // 3. அதற்குப் பெயரிடப்பட்டது.,1. राशि का नामकरण करो। // 2. उसने इसका नामकरण किया। // 3. इसका नामकरण किया गया।
Denote / Denoted / Denoted,Day 90,Advanced,குறிப்பால் உணர்த்து / உணர்த்தினேன் / உணர்த்தியுள்ளேன்,सूचित करना / किया / कर चुका,1. Denote the meaning. // 2. It denoted that. // 3. That was denoted.,1. பொருளைக் குறிப்பிடு. // 2. அது அதைக் குறிப்பிட்டது. // 3. அது குறிப்பிடப்பட்டது.,1. अर्थ सूचित करो। // 2. इसने वह सूचित किया। // 3. वह सूचित किया गया।
Denounce / Denounced / Denounced,Day 90,Advanced,பகிரங்கமாக கண்டி / கண்டித்தேன் / கண்டித்துள்ளேன்,निंदा करना / की / कर चुका,1. Denounce the crime. // 2. He denounced it. // 3. It was denounced.,1. குற்றத்தைக் கண்டனம் செய். // 2. அவர் அதைக் கண்டனம் செய்தார். // 3. அது கண்டனம் செய்யப்பட்டது.,1. अपराध की निंदा करो। // 2. उसने इसकी निंदा की। // 3. इसकी निंदा की गई।
Dent / Dented / Dented,Day 91,Advanced,பள்ளமாக்கு (நசுக்கி) / ஆக்கினேன் / ஆக்கியுள்ளேன்,निशान डालना (दबाकर) / डाला,1. Don't dent the car. // 2. He dented it. // 3. It was dented.,1. காரை நெளிக்காதே. // 2. அவர் அதை நெளித்தார். // 3. அது நெளிந்தது.,1. कार को पिचकाओ मत। // 2. उसने इसे पिचका दिया। // 3. यह पिचक गई।
Denude / Denuded / Denuded,Day 91,Advanced,உரி (ஆடையற்றதாக்கு) / உரித்தேன் / உரித்துள்ளேன்,नग्न करना / किया / कर चुका,1. Denude the forest. // 2. They denuded it. // 3. It was denuded.,1. காட்டை மொட்டையடி. // 2. அவர்கள் அதை மொட்டையடித்தனர். // 3. அது மொட்டையடிக்கப்பட்டது.,1. जंगल को नंगा करो। // 2. उन्होंने इसे नंगा किया। // 3. इसे नंगा किया गया।
Deny / Denied / Denied,Day 91,Advanced,மறு / மறுத்தேன் / மறுத்துள்ளேன்,इनकार करना / किया / कर चुका,1. Deny the request. // 2. He denied it. // 3. It was denied.,1. கோரிக்கையை மறு. // 2. அவர் அதை மறுத்தார். // 3. அது மறுக்கப்பட்டது.,1. अनुरोध अस्वीकार करो। // 2. उसने इसे अस्वीकार किया। // 3. इसे अस्वीकार किया गया।
Depart / Departed / Departed,Day 91,Advanced,புறப்படு / புறப்பட்டேன் / புறப்பட்டுள்ளேன்,प्रस्थान करना / किया / कर चुका,1. Depart immediately. // 2. He departed. // 3. (Intransitive),1. உடனே புறப்படு. // 2. அவர் புறப்பட்டார். // 3. (பொருந்தாது),1. तुरंत प्रस्थान करो। // 2. उसने प्रस्थान किया। // 3. (लागू नहीं)
Depend / Depended / Depended,Day 91,Advanced,சார்ந்திரு / சார்ந்திருந்தேன் / சார்ந்துள்ளேன்,निर्भर होना / था / हो चुका,1. Depend on God. // 2. He depended on me. // 3. (Intransitive),1. இறைவனைச் சார்ந்திரு. // 2. அவர் என்னைச் சார்ந்திருந்தார். // 3. (பொருந்தாது),1. भगवान पर निर्भर रहो। // 2. वह मुझ पर निर्भर था। // 3. (लागू नहीं)
Depict / Depicted / Depicted,Day 92,Advanced,சித்தரி / சித்தரித்தேன் / சித்தரித்துள்ளேன்,चित्रित करना / किया / कर चुका,1. Depict the scene. // 2. He depicted it. // 3. It was depicted.,1. காட்சியைச் சித்தரி. // 2. அவர் அதைச் சித்தரித்தார். // 3. அது சித்தரிக்கப்பட்டது.,1. दृश्य का चित्रण करो। // 2. उसने इसका चित्रण किया। // 3. इसका चित्रण किया गया।
Deplete / Depleted / Depleted,Day 92,Advanced,தீர்த்துவிடு / தீர்த்தேன் / தீர்த்துள்ளேன்,कम करना (खाली करना) / किया,1. Deplete the stock. // 2. He depleted it. // 3. It was depleted.,1. இருப்பைக் காலியாக்கு. // 2. அவர் அதைக் காலியாக்கினார். // 3. அது காலியாக்கப்பட்டது.,1. भंडार खाली करो। // 2. उसने इसे खाली किया। // 3. इसे खाली किया गया।
Deplore / Deplored / Deplored,Day 92,Advanced,வருந்தி கண்டி / கண்டித்தேன் / கண்டித்துள்ளேன்,विलाप करना / किया / कर चुका,1. Deplore the act. // 2. He deplored it. // 3. It was deplored.,1. செயலுக்கு வருத்தம் தெரிவி. // 2. அவர் அதற்கு வருத்தம் தெரிவித்தார். // 3. அதற்கு வருத்தம் தெரிவிக்கப்பட்டது.,1. कृत्य की निंदा करो। // 2. उसने इसकी निंदा की। // 3. इसकी निंदा की गई।
Deploy / Deployed / Deployed,Day 92,Advanced,பணியில் அமர்த்து / அமர்த்தினேன் / அமர்த்தியுள்ளேன்,तैनात करना / किया / कर चुका,1. Deploy the troops. // 2. He deployed them. // 3. They were deployed.,1. படைகளைப் பணியில் அமர்த்து. // 2. அவர் அவர்களைப் பணியில் அமர்த்தினார். // 3. அவர்கள் பணியில் அமர்த்தப்பட்டனர்.,1. सैनिकों को तैनात करो। // 2. उसने उन्हें तैनात किया। // 3. उन्हें तैनात किया गया।
Deport / Deported / Deported,Day 92,Advanced,நாடுகடத்து / கடத்தினேன் / கடத்தியுள்ளேன்,निर्वासित करना / किया / कर चुका,1. Deport the alien. // 2. They deported him. // 3. He was deported.,1. அயல்நாட்டவரை நாடு கடத்து. // 2. அவர்கள் அவரை நாடு கடத்தினார்கள். // 3. அவர் நாடு கடத்தப்பட்டார்.,1. विदेशी को निर्वासित करो। // 2. उन्होंने उसे निर्वासित किया। // 3. उसे निर्वासित किया गया।
Depose / Deposed / Deposed,Day 93,Advanced,பதவியிறக்கு / இறக்கினேன் / இறக்கியுள்ளேன்,गवाही देना (या पद से हटाना),1. Depose the king. // 2. They deposed him. // 3. He was deposed.,1. அரசரைப் பதவி நீக்கம் செய். // 2. அவர்கள் அவரைப் பதவி நீக்கம் செய்தனர். // 3. அவர் பதவி நீக்கம் செய்யப்பட்டார்.,1. राजा को गद्दी से हटाओ। // 2. उन्होंने उसे हटाया। // 3. उसे हटाया गया।
Deposit / Deposited / Deposited,Day 93,Advanced,வைப்பு செய் / செய்தேன் / செய்துள்ளேன்,जमा करना / किया / कर चुका,1. Deposit the cash. // 2. He deposited it. // 3. It was deposited.,1. பணத்தை வைப்பு செய். // 2. அவர் அதை வைப்பு செய்தார். // 3. அது வைப்பு செய்யப்பட்டது.,1. नकद जमा करो। // 2. उसने इसे जमा किया। // 3. इसे जमा किया गया।
Deprave / Depraved / Depraved,Day 93,Advanced,கெடு (ஒழுக்கத்தை) / கெடுத்தேன் / கெடுத்துள்ளேன்,भ्रष्ट करना / किया / कर चुका,1. Don't deprave him. // 2. It depraved him. // 3. He was depraved.,1. அவனைச் சீர்கெடுக்காதே. // 2. அது அவனைச் சீர்கெடுத்தது. // 3. அவன் சீர்கெடுக்கப்பட்டான்.,1. उसे भ्रष्ट मत करो। // 2. इसने उसे भ्रष्ट किया। // 3. वह भ्रष्ट हो गया।
Deprecate / Deprecated / Deprecated,Day 93,Advanced,ஆட்சேபித்து கண்டி / கண்டித்தேன் / கண்டித்துள்ளேன்,विरोध करना / किया / कर चुका,1. Deprecate the move. // 2. He deprecated it. // 3. It was deprecated.,1. நடவடிக்கையை எதிர்ப்பது. // 2. அவர் அதை எதிர்த்தார் (விரும்பவில்லை). // 3. அது எதிர்க்கப்பட்டது.,1. कदम का विरोध करो। // 2. उसने इसका विरोध किया। // 3. इसका विरोध किया गया।
Depreciate / Depreciated / Depreciated,Day 93,Advanced,மதிப்பு குறை / குறைந்தது / குறைந்துள்ளது,मूल्य कम होना / हुआ / हो चुका,1. Depreciate the value. // 2. It depreciated. // 3. It was depreciated.,1. மதிப்பைக் குறை. // 2. அது மதிப்பிழந்தது. // 3. அது மதிப்பிழக்கச் செய்யப்பட்டது.,1. मूल्य कम करो। // 2. इसका मूल्य कम हुआ। // 3. इसका मूल्य कम किया गया।
Depress / Depressed / Depressed,Day 94,Advanced,மனச்சோர்வடையச் செய் / செய்தேன் / செய்துள்ளேன்,उदास करना / किया / कर चुका,1. Don't depress me. // 2. He depressed me. // 3. I was depressed.,1. என்னை மனச்சோர்வடையச் செய்யாதே. // 2. அவர் என்னை மனச்சோர்வடையச் செய்தார். // 3. நான் மனச்சோர்வடைந்தேன்.,1. मुझे उदास मत करो। // 2. उसने मुझे उदास किया। // 3. मैं उदास हो गया।
Deprive / Deprived / Deprived,Day 94,Advanced,உரிமையைப் பறி / பறித்தேன் / பறித்துள்ளேன்,वंचित करना / किया / कर चुका,1. Don't deprive him. // 2. He deprived me. // 3. I was deprived.,1. அவனிடமிருந்து பறிக்காதே. // 2. அவர் என்னிடமிருந்து பறித்தார். // 3. நான் வஞ்சிக்கப்பட்டேன் (பறிக்கொடுத்தேன்).,1. उसे वंचित मत करो। // 2. उसने मुझे वंचित किया। // 3. मुझे वंचित किया गया।
Depute / Deputed / Deputed,Day 94,Advanced,பிரதிநிதியாக நியமி / நியமித்தேன் / நியமித்துள்ளேன்,नियुक्त करना / किया / कर चुका,1. Depute a leader. // 2. He deputed him. // 3. He was deputed.,1. ஒரு தலைவரை நியமி. // 2. அவர் அவரை நியமித்தார். // 3. அவர் நியமிக்கப்பட்டார்.,1. प्रतिनिधि नियुक्त करो। // 2. उसने उसे नियुक्त किया। // 3. उसे नियुक्त किया गया।
Derail / Derailed / Derailed,Day 94,Advanced,தடம் புரளச் செய் / செய்தேன் / செய்துள்ளேன்,पटरी से उतारना / उतारा / चुका,1. Derail the train. // 2. He derailed it. // 3. It was derailed.,1. ரயிலைத் தடம் புரளச் செய். // 2. அவர் அதைத் தடம் புரளச் செய்தார். // 3. அது தடம் புரண்டது.,1. ट्रेन को पटरी से उतारो। // 2. उसने इसे उतारा। // 3. यह पटरी से उतर गई।
Derange / Deranged / Deranged,Day 94,Advanced,சீர்குலை / குலைத்தேன் / குலைத்துள்ளேன்,अव्यवस्थित करना / किया / चुका,1. Don't derange him. // 2. It deranged him. // 3. He was deranged.,1. அவன் மனநிலையைச் சிதைக்காதே. // 2. அது அவன் மனநிலையைச் சிதைத்தது. // 3. அவன் மனநிலை சிதைந்தது.,1. उसे पागल मत करो। // 2. इसने उसे पागल किया। // 3. वह पागल हो गया।
Deride / Derided / Derided,Day 95,Advanced,ஏளனம் செய் / செய்தேன் / செய்துள்ளேன்,उपहास करना / किया / कर चुका,1. Don't deride him. // 2. He derided me. // 3. I was derided.,1. அவனை ஏளனம் செய்யாதே. // 2. அவர் என்னை ஏளனம் செய்தார். // 3. நான் ஏளனம் செய்யப்பட்டேன்.,1. उसका उपहास मत करो। // 2. उसने मेरा उपहास किया। // 3. मेरा उपहास किया गया।
