English (V1/V2/V3),Day Number,Difficulty Level,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples,Tamil Examples,Hindi Examples
Cheer / Cheered / Cheered,Day 73,Beginner,உற்சாகப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,प्रोत्साहित करना / किया / चुका,1. I cheer for my team. // 2. The crowd cheered. // 3. I have cheered her up.,1. நான் என் குழுவிற்காக உற்சாகப்படுத்துகிறேன். // 2. கூட்டம் ஆரவாரம் செய்தது. // 3. நான் அவளை உற்சாகப்படுத்தினேன்.,1. मैं अपनी टीम का उत्साह बढ़ाता हूँ। // 2. भीड़ ने जयकार की। // 3. मैंने उसे खुश कर दिया है।
Chew / Chewed / Chewed,Day 73,Beginner,மெல்லு / மென்றேன் / மென்றுள்ளேன்,चबाना / चबाया / चबा चुका,1. I chew my food well. // 2. He chewed the gum. // 3. The dog has chewed the shoe.,1. நான் உணவை நன்றாக மெல்லுகிறேன். // 2. அவன் கமி மென்றான். // 3. நாய் ஷூவை மென்றுவிட்டது.,1. मैं अपना खाना अच्छे से चबाता हूँ। // 2. उसने गम चबाई। // 3. कुत्ते ने जूता चबा लिया है।
Choke / Choked / Choked,Day 74,Beginner,மூச்சுத்திணறு / திணறினேன் / திணறியுள்ளேன்,दम घुटना / घुटा / घुट चुका,1. Smoke can choke you. // 2. He choked on a bone. // 3. The dust has choked the pipe.,1. புகை உங்கள் மூச்சைத் திணறடிக்கும். // 2. எலும்பு அவன் தொண்டையில் சிக்கித் திணறடித்தது. // 3. தூசி குழாயை அடைத்துள்ளது.,1. धुआं आपका दम घोंट सकता है। // 2. हड्डी उसके गले में फंस गई। // 3. धूल ने पाइप को जाम कर दिया है।
Chop / Chopped / Chopped,Day 74,Beginner,நறுக்கு / நறுக்கினேன் / நறுக்கியுள்ளேன்,काटना / काटा / काट चुका,1. I chop the onions. // 2. He chopped the wood. // 3. I have chopped the meat.,1. நான் வெங்காயத்தை நறுக்குகிறேன். // 2. அவர் விறகை வெட்டினார். // 3. நான் இறைச்சியை நறுக்கியுள்ளேன்.,1. मैं प्याज काटता हूँ। // 2. उसने लकड़ी काटी। // 3. मैंने मांस काट लिया है।
Claim / Claimed / Claimed,Day 74,Beginner,உரிமை கோரு / கோரினேன் / கோரியுள்ளேன்,दावा करना / किया / कर चुका,1. I claim my prize. // 2. He claimed he was rich. // 3. I have claimed the insurance.,1. நான் என் பரிசை உரிமை கோருகிறேன். // 2. தான் பணக்காரன் என்று அவன் கூறினான். // 3. நான் காப்பீட்டைப் பெற்றுள்ளேன் (claim).,1. मैं अपने इनाम का दावा करता हूँ। // 2. उसने दावा किया कि वह अमीर है। // 3. मैंने बीमा का दावा किया है।
Clap / Clapped / Clapped,Day 74,Beginner,கைதட்டு / தட்டினேன் / தட்டியுள்ளேன்,ताली बजाना / बजाई / बजा चुका,1. I clap for him. // 2. Everyone clapped. // 3. I have clapped many times.,1. நான் அவனுக்காகக் கைதட்டுகிறேன். // 2. அனைவரும் கைதட்டினார்கள். // 3. நான் பலமுறை கைதட்டியிருக்கிறேன்.,1. मैं उसके लिए ताली बजाता हूँ। // 2. सबने तालियाँ बजाईं। // 3. मैं कई बार तालियाँ बजा चुका हूँ।
Classify / Classified / Classified,Day 74,Beginner,வகைப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,वर्गीकृत करना / किया / कर चुका,1. I classify the files. // 2. He classified the plants. // 3. These are classified documents.,1. நான் கோப்புகளை வகைப்படுத்துகிறேன். // 2. அவர் தாவரங்களை வகைப்படுத்தினார். // 3. இவை ரகசியமான (வகைப்படுத்தப்பட்ட) ஆவணங்கள்.,1. मैं फाइलों को वर्गीकृत करता हूँ। // 2. उसने पौधों का वर्गीकरण किया। // 3. ये वर्गीकृत (गुप्त) दस्तावेज़ हैं।
Clear / Cleared / Cleared,Day 75,Beginner,தெளிவாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,साफ़ करना / किया / कर चुका,1. I clear the table. // 2. He cleared the exam. // 3. The sky has cleared.,1. நான் மேசையைச் சுத்தம் செய்கிறேன். // 2. அவர் தேர்வில் தேர்ச்சி பெற்றார். // 3. வானம் மேகங்கள் நீங்கித் தெளிவாகியுள்ளது.,1. मैं मेज साफ करता हूँ। // 2. उसने परीक्षा पास कर ली। // 3. आसमान साफ हो गया है।
Click / Clicked / Clicked,Day 75,Beginner,கிளிக் செய் / செய்தேன் / செய்துள்ளேன்,क्लिक करना / किया / कर चुका,1. I click the mouse. // 2. He clicked a picture. // 3. I have clicked the link.,1. நான் மவுஸை கிளிக் செய்கிறேன். // 2. அவர் ஒரு புகைப்படம் எடுத்தார். // 3. நான் இணைப்பை கிளிக் செய்துள்ளேன்.,1. मैं माउस क्लिक करता हूँ। // 2. उसने एक तस्वीर खींची। // 3. मैंने लिंक पर क्लिक कर दिया है।
Cling / Clung / Clung,Day 75,Beginner,ஒட்டிக்கொள் / கொண்டேன் / கொண்டுள்ளேன்,चिपकना / चिपका / चिपक चुका,1. Babies cling to mothers. // 2. He clung to hope. // 3. Dust has clung to the wall.,1. குழந்தைகள் தாயை ஒட்டிக்கொள்கிறார்கள். // 2. அவர் நம்பிக்கையைப் பற்றிக்கொண்டார். // 3. தூசி சுவரில் ஒட்டிக்கொண்டுள்ளது.,1. बच्चे माँ से चिपक जाते हैं। // 2. वह उम्मीद से चिपका रहा। // 3. धूल दीवार से चिपक गई है।
Coach / Coached / Coached,Day 75,Beginner,பயிற்சியளி / அளித்தேன் / அளித்துள்ளேன்,प्रशिक्षण देना / दिया / दे चुका,1. I coach the team. // 2. He coached me in math. // 3. I have coached many kids.,1. நான் குழுவிற்குப் பயிற்சியளிக்கிறேன். // 2. அவர் எனக்குக் கணிதத்தில் பயிற்சியளித்தார். // 3. நான் பல குழந்தைகளுக்குப் பயிற்சியளித்துள்ளேன்.,1. मैं टीम को कोचिंग देता हूँ। // 2. उसने मुझे गणित सिखाया। // 3. मैंने कई बच्चों को प्रशिक्षित किया है।
Coil / Coiled / Coiled,Day 75,Beginner,சுருட்டு / சுருட்டினேன் / சுருட்டியுள்ளேன்,लपेटना / लपेटा / लपेट चुका,1. Snakes coil up. // 2. He coiled the rope. // 3. I have coiled the wire.,1. பாம்புகள் சுருண்டு கொள்கின்றன. // 2. அவர் கயிற்றைச் சுருட்டினார். // 3. நான் கம்பியைச் சுருட்டியுள்ளேன்.,1. सांप कुंडली मारते हैं। // 2. उसने रस्सी लपेटी। // 3. मैंने तार लपेट दिया है।
Color / Colored / Colored,Day 76,Beginner,வண்ணம் பூசு / பூசினேன் / பூசியுள்ளேன்,रंगना / रंगा / रंग चुका,1. I color the picture. // 2. She colored her hair. // 3. I have colored the walls.,1. நான் படத்திற்கு வண்ணம் தீட்டுகிறேன். // 2. அவள் தன் முடிக்கு வண்ணம் பூசினாள். // 3. நான் சுவர்களுக்கு வண்ணம் பூசியுள்ளேன்.,1. मैं चित्र में रंग भरता हूँ। // 2. उसने अपने बाल रंगे। // 3. मैंने दीवारों पर रंग कर दिया है।
Comb / Combed / Combed,Day 76,Beginner,சீவு (தலை) / சீவினேன் / சீவியுள்ளேன்,कंघी करना / की / कर चुका,1. I comb my hair. // 2. She combed her hair. // 3. I have combed the area.,1. நான் தலை சீவுகிறேன். // 2. அவள் தலை வாரினாள். // 3. நான் அந்த இடத்தைத் தேடிவிட்டேன் (சீவிப் பார்த்தேன்).,1. मैं अपने बाल संवारता हूँ। // 2. उसने अपने बाल काढ़े। // 3. मैंने इलाके की तलाशी ली है।
Combine / Combined / Combined,Day 76,Beginner,இணை / இணைத்தேன் / இணைத்துள்ளேன்,मिलाना / मिलाया / मिला चुका,1. I combine the ingredients. // 2. They combined forces. // 3. I have combined the files.,1. நான் பொருட்களை ஒன்றிணைக்கிறேன். // 2. அவர்கள் படைகளை ஒன்றிணைத்தனர். // 3. நான் கோப்புகளை இணைத்துள்ளேன்.,1. मैं सामग्री मिलाता हूँ। // 2. उन्होंने सेनाएँ मिला दीं। // 3. मैंने फाइलों को जोड़ दिया है।
Comfort / Comforted / Comforted,Day 76,Beginner,ஆறுதல் கூறு / கூறினேன் / கூறியுள்ளேன்,सांत्वना देना / दी / दे चुका,1. I comfort the child. // 2. He comforted me. // 3. I have comforted the family.,1. நான் குழந்தையைத் தேற்றுகிறேன். // 2. அவர் எனக்குத் ஆறுதல் கூறினார். // 3. நான் அந்த குடும்பத்திற்கு ஆறுதல் கூறினேன்.,1. मैं बच्चे को दिलासा देता हूँ। // 2. उसने मुझे सांत्वना दी। // 3. मैंने परिवार को दिलासा दिया है।
Command / Commanded / Commanded,Day 76,Beginner,கட்டளையிடு / இட்டேன் / இட்டுள்ளேன்,आदेश देना / दिया / दे चुका,1. I command you to go. // 2. He commanded the army. // 3. I have commanded respect.,1. நான் உன்னைச் செல்லக் கட்டளையிடுகிறேன். // 2. அவர் ராணுவத்தை வழிநடத்தினார் (கட்டளையிட்டார்). // 3. நான் மரியாதையைப் பெற்றுள்ளேன்.,1. मैं तुम्हें जाने का आदेश देता हूँ। // 2. उसने सेना की कमान संभाली। // 3. मैंने सम्मान अर्जित किया है।
Communicate / Communicated / Communicated,Day 77,Beginner,தொடர்பு கொள் / கொண்டேன் / கொண்டுள்ளேன்,संचार करना / किया / कर चुका,1. I communicate well. // 2. We communicated via mail. // 3. I have communicated the news.,1. நான் நன்றாகத் தொடர்பு கொள்கிறேன். // 2. நாங்கள் அஞ்சல் மூலம் தொடர்பு கொண்டோம். // 3. நான் செய்தியைத் தெரிவித்துவிட்டேன்.,1. मैं अच्छी तरह संवाद करता हूँ। // 2. हमने मेल के जरिए बात की। // 3. मैंने खबर पहुँचा दी है।
Compete / Competed / Competed,Day 77,Beginner,போட்டியிடு / இட்டேன் / இட்டுள்ளேன்,प्रतिस्पर्धा करना / की / चुका,1. I compete in sports. // 2. They competed for the prize. // 3. I have competed with him.,1. நான் விளையாட்டுகளில் போட்டியிடுகிறேன். // 2. அவர்கள் பரிசுக்காகப் போட்டியிட்டனர். // 3. நான் அவருடன் போட்டியிட்டுள்ளேன்.,1. मैं खेलों में प्रतिस्पर्धा करता हूँ। // 2. उन्होंने इनाम के लिए मुकाबला किया। // 3. मैंने उसके साथ मुकाबला किया है।
Complete / Completed / Completed,Day 77,Beginner,முடி / முடித்தேன் / முடித்துள்ளேன்,पूरा करना / किया / कर चुका,1. I complete my work. // 2. He completed the task. // 3. I have completed the course.,1. நான் என் வேலையை முடிக்கிறேன். // 2. அவர் பணியை முடித்தார். // 3. நான் படிப்பை முடித்துவிட்டேன்.,1. मैं अपना काम पूरा करता हूँ। // 2. उसने काम पूरा किया। // 3. मैंने कोर्स पूरा कर लिया है।
Concentrate / Concentrated / Concentrated,Day 77,Beginner,கவனி / கவனித்தேன் / கவனித்துள்ளேன்,ध्यान केंद्रित करना / किया / चुका,1. I concentrate on study. // 2. He concentrated hard. // 3. I have concentrated the liquid.,1. நான் படிப்பில் கவனம் செலுத்துகிறேன். // 2. அவர் தீவிரமாகக் கவனம் செலுத்தினார். // 3. நான் திரவத்தைச் செறிவூட்டியுள்ளேன்.,1. मैं पढ़ाई पर ध्यान केंद्रित करता हूँ। // 2. उसने बहुत ध्यान लगाया। // 3. मैंने तरल को गाढ़ा कर दिया है।
Concern / Concerned / Concerned,Day 77,Beginner,கவலைப்படு / பட்டேன் / பட்டுள்ளேன்,चिंतित होना / हुआ / हो चुका,1. This concerns you. // 2. It concerned my health. // 3. I have concerned myself.,1. இது உன்னைப் பற்றியது (உனக்குத் தொடர்புடையது). // 2. அது என் ஆரோக்கியத்தைப் பற்றியது. // 3. நான் அக்கறை கொண்டுள்ளேன்.,1. यह आपसे संबंधित है। // 2. यह मेरे स्वास्थ्य से संबंधित था। // 3. मैंने खुद को चिंतित किया है।
Conclude / Concluded / Concluded,Day 78,Beginner,முடிவு செய் / செய்தேன் / செய்துள்ளேன்,निष्कर्ष निकालना / निकाला / चुका,1. I conclude the meeting. // 2. He concluded his speech. // 3. I have concluded that he is right.,1. நான் கூட்டத்தை நிறைவு செய்கிறேன். // 2. அவர் தனது உரையை முடித்தார். // 3. அவர் சொல்வது சரி என்று நான் முடிவெடுத்துள்ளேன்.,1. मैं मीटिंग समाप्त करता हूँ। // 2. उसने अपना भाषण समाप्त किया। // 3. मैंने निष्कर्ष निकाला है कि वह सही है।
Condition / Conditioned / Conditioned,Day 78,Beginner,நிபந்தனையிடு / இட்டேன் / இட்டுள்ளேன்,शर्त रखना / रखी / रख चुका,1. I condition my hair. // 2. He conditioned the air. // 3. I have conditioned myself.,1. நான் என் கூந்தலைப் பராமரிக்கிறேன் (condition). // 2. அவர் காற்றைக் கட்டுப்படுத்தினார் (AC). // 3. நான் என்னைப் பழக்கப்படுத்திக் கொண்டேன்.,1. मैं अपने बालों को कंडीशन करता हूँ। // 2. उसने हवा को अनुकूलित किया। // 3. मैंने खुद को तैयार कर लिया है।
Conduct / Conducted / Conducted,Day 78,Beginner,நடத்து / நடத்தினேன் / நடத்தியுள்ளேன்,संचालन करना / किया / कर चुका,1. I conduct an experiment. // 2. He conducted the orchestra. // 3. I have conducted a survey.,1. நான் ஒரு பரிசோதனையை நடத்துகிறேன். // 2. அவர் இசைக்குழுவை வழிநடத்தினார். // 3. நான் ஒரு கணக்கெடுப்பை நடத்தியுள்ளேன்.,1. मैं एक प्रयोग करता हूँ। // 2. उसने ऑर्केस्ट्रा का संचालन किया। // 3. मैंने एक सर्वेक्षण किया है।
Confess / Confessed / Confessed,Day 78,Beginner,ஒப்புக்கொள் / கொண்டேன் / கொண்டுள்ளேன்,स्वीकार करना / किया / कर चुका,1. I confess my love. // 2. He confessed to the crime. // 3. I have confessed everything.,1. நான் என் அன்பை ஒப்புக்கொள்கிறேன். // 2. அவர் குற்றத்தை ஒப்புக்கொண்டார். // 3. நான் அனைத்தையும் ஒப்புக்கொண்டேன்.,1. मैं अपना प्यार कबूल करता हूँ। // 2. उसने अपराध स्वीकार कर लिया। // 3. मैंने सब कुछ सच बता दिया है।
Confine / Confined / Confined,Day 78,Beginner,எல்லைப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,सीमित करना / किया / कर चुका,1. I confine him to the room. // 2. She was confined to bed. // 3. I have confined the search.,1. நான் அவனை அறைக்குள் அடைத்து வைக்கிறேன். // 2. அவள் படுக்கையிலேயே இருக்கும்படி நேர்ந்தது. // 3. நான் தேடுதலைக் கட்டுப்படுத்தியுள்ளேன்.,1. मैं उसे कमरे तक सीमित करता हूँ। // 2. वह बिस्तर तक ही सीमित रह गई। // 3. मैंने खोज को सीमित कर दिया है।
Confuse / Confused / Confused,Day 79,Beginner,குழப்பு / குழப்பினேன் / குழப்பியுள்ளேன்,भ्रमित करना / किया / कर चुका,1. You confuse me. // 2. He confused the names. // 3. I have been confused.,1. நீங்கள் என்னைக் குழப்புகிறீர்கள். // 2. அவர் பெயர்களைக் குழப்பிக்கொண்டார். // 3. நான் குழப்பமடைந்துள்ளேன்.,1. तुम मुझे भ्रमित करते हो। // 2. उसने नामों में उलझन कर दी। // 3. मैं उलझन में हूँ।
Congratulate / Congratulated / Congratulated,Day 79,Beginner,வாழ்த்து / வாழ்த்தினேன் / வாழ்த்தியுள்ளேன்,बधाई देना / दी / दे चुका,1. I congratulate you. // 2. He congratulated me. // 3. I have congratulated the team.,1. நான் உன்னைப் பாராட்டுகிறேன் (வாழ்த்துகிறேன்). // 2. அவர் எனக்கு வாழ்த்து கூறினார். // 3. நான் குழுவை வாழ்த்தியுள்ளேன்.,1. मैं आपको बधाई देता हूँ। // 2. उसने मुझे बधाई दी। // 3. मैंने टीम को बधाई दी है।
Consider / Considered / Considered,Day 79,Beginner,பரிசீலி / பரிசீலித்தேன் / பரிசீலித்துள்ளேன்,विचार करना / किया / कर चुका,1. I consider your request. // 2. He considered it done. // 3. I have considered all options.,1. நான் உங்கள் கோரிக்கையைப் பரிசீலிக்கிறேன். // 2. அவர் அது முடிந்துவிட்டதாகக் கருதினார். // 3. நான் எல்லா வழிகளையும் யோசித்துள்ளேன்.,1. मैं आपके अनुरोध पर विचार करता हूँ। // 2. उसने इसे पूरा मान लिया। // 3. मैंने सभी विकल्पों पर विचार किया है।
Consist / Consisted / Consisted,Day 79,Beginner,அடங்கியிரு / இருந்தது / இருந்திருக்கிறது,शामिल होना / था / हो चुका,1. It consists of milk. // 2. The team consisted of five. // 3. Life has consisted of joy.,1. இது பாலைக் கொண்டுள்ளது. // 2. குழுவில் ஐந்து பேர் இருந்தனர். // 3. வாழ்க்கை மகிழ்ச்சியைக் கொண்டிருந்தது.,1. इसमें दूध होता है। // 2. टीम में पाँच लोग थे। // 3. जीवन खुशियों से भरा रहा है।
Construct / Constructed / Constructed,Day 79,Beginner,கட்டு / கட்டினேன் / கட்டியுள்ளேன்,निर्माण करना / किया / कर चुका,1. I construct a building. // 2. He constructed a bridge. // 3. I have constructed a plan.,1. நான் ஒரு கட்டிடத்தைக் கட்டுகிறேன். // 2. அவர் ஒரு பாலத்தைக் கட்டினார். // 3. நான் ஒரு திட்டத்தை உருவாக்கியுள்ளேன்.,1. मैं एक इमारत बनाता हूँ। // 2. उसने एक पुल बनाया। // 3. मैंने एक योजना बनाई है।
Consult / Consulted / Consulted,Day 80,Beginner,கலந்தாலோசி / ஆலோசித்தேன் / ஆலோசித்துள்ளேன்,परामर्श करना / किया / कर चुका,1. I consult a doctor. // 2. He consulted the map. // 3. I have consulted my lawyer.,1. நான் மருத்துவரை அணுகுகிறேன் (ஆலோசிக்கிறேன்). // 2. அவர் வரைபடத்தைப் பார்த்தார் (ஆலோசித்தார்). // 3. நான் என் வழக்கறிஞரிடம் ஆலோசனை பெற்றுள்ளேன்.,1. मैं डॉक्टर से सलाह लेता हूँ। // 2. उसने मानचित्र देखा। // 3. मैंने अपने वकील से सलाह ली है।
Contain / Contained / Contained,Day 80,Beginner,கொண்டிரு / கொண்டிருந்தேன் / கொண்டுள்ளேன்,समाहित होना / था / हो चुका,1. The box contains eggs. // 2. It contained water. // 3. I have contained my anger.,1. பெட்டியில் முட்டைகள் உள்ளன. // 2. அதில் தண்ணீர் இருந்தது. // 3. நான் என் கோபத்தைக் கட்டுப்படுத்தினேன்.,1. डिब्बे में अंडे हैं। // 2. इसमें पानी था। // 3. मैंने अपने गुस्से पर काबू पा लिया है।
Control / Controlled / Controlled,Day 80,Beginner,கட்டுப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,नियंत्रण करना / किया / कर चुका,1. I control the car. // 2. He controlled the crowd. // 3. I have controlled the speed.,1. நான் காரைக் கட்டுப்படுத்துகிறேன். // 2. அவர் கூட்டத்தைக் கட்டுப்படுத்தினார். // 3. நான் வேகத்தைக் கட்டுப்படுத்தியுள்ளேன்.,1. मैं कार को नियंत्रित करता हूँ। // 2. उसने भीड़ को नियंत्रित किया। // 3. मैंने गति पर नियंत्रण कर लिया है।
Convert / Converted / Converted,Day 80,Beginner,மாற்று / மாற்றினேன் / மாற்றியுள்ளேன்,बदलना / बदला / बदल चुका,1. I convert files. // 2. He converted to Islam. // 3. I have converted the currency.,1. நான் கோப்புகளை மாற்றுகிறேன். // 2. அவர் இஸ்லாத்திற்கு மாறினார். // 3. நான் நாணயத்தை மாற்றியுள்ளேன்.,1. मैं फाइलों को बदलता (कन्वर्ट) हूँ। // 2. उसने इस्लाम धर्म अपना लिया। // 3. मैंने मुद्रा बदल ली है।
Convince / Convinced / Convinced,Day 80,Beginner,சம்மதிக்கவை / வைத்தேன் / வைத்துள்ளேன்,मनाना / मनाया / मना चुका,1. I convince him. // 2. She convinced me. // 3. I have convinced my parents.,1. நான் அவனைச் சம்மதிக்க வைக்கிறேன். // 2. அவள் என்னை நம்ப வைத்தாள். // 3. நான் என் பெற்றோரைச் சம்மதிக்க வைத்துள்ளேன்.,1. मैं उसे मना लेता हूँ। // 2. उसने मुझे मना लिया। // 3. मैंने अपने माता-पिता को मना लिया है।
Cool / Cooled / Cooled,Day 81,Beginner,குளிரவை / வைத்தேன் / வைத்துள்ளேன்,ठंडा करना / किया / कर चुका,1. I cool the soup. // 2. The weather cooled. // 3. I have cooled down.,1. நான் சூப்பை ஆற வைக்கிறேன். // 2. வானிலை குளிர்ந்தது. // 3. நான் அமைதியாகிவிட்டேன் (குளிர்ந்துவிட்டேன்).,1. मैं सूप ठंडा करता हूँ। // 2. मौसम ठंडा हो गया। // 3. मैं शांत हो गया हूँ।
Cooperate / Cooperated / Cooperated,Day 81,Beginner,ஒத்துழை / ஒத்துழைத்தேன் / ஒத்துழைத்துள்ளேன்,सहयोग करना / किया / कर चुका,1. I cooperate with you. // 2. They cooperated well. // 3. I have cooperated with police.,1. நான் உன்னுடன் ஒத்துழைக்கிறேன். // 2. அவர்கள் நன்றாக ஒத்துழைத்தார்கள். // 3. நான் போலீசாருடன் ஒத்துழைத்துள்ளேன்.,1. मैं आपके साथ सहयोग करता हूँ। // 2. उन्होंने अच्छा सहयोग किया। // 3. मैंने पुलिस के साथ सहयोग किया है।
Cope / Coped / Coped,Day 81,Beginner,சமாளி / சமாளித்தேன் / சமாளித்துள்ளேன்,सामना करना / किया / कर चुका,1. I cope with stress. // 2. He coped with the loss. // 3. I have coped well.,1. நான் மன அழுத்தத்தைச் சமாளிக்கிறேன். // 2. அவர் இழப்பைச் சமாளித்தார். // 3. நான் நன்றாகச் சமாளித்துவிட்டேன்.,1. मैं तनाव का सामना करता हूँ। // 2. उसने नुकसान को संभाला। // 3. मैंने अच्छी तरह से सामना किया है।
Correct / Corrected / Corrected,Day 81,Beginner,திருத்து / திருத்தினேன் / திருத்தியுள்ளேன்,सुधारना / सुधारा / सुधार चुका,1. I correct the mistakes. // 2. He corrected me. // 3. I have corrected the paper.,1. நான் தவறுகளைத் திருத்துகிறேன். // 2. அவர் என்னைத் திருத்தினார். // 3. நான் தாளைத் திருத்தியுள்ளேன்.,1. मैं गलतियाँ सुधारता हूँ। // 2. उसने मुझे सुधारा। // 3. मैंने पेपर चेक कर लिया है।
Cough / Coughed / Coughed,Day 81,Beginner,இருமு / இருமினேன் / இருமியுள்ளேன்,खाँसना / खाँसा / खाँस चुका,1. I cough a lot. // 2. He coughed loudly. // 3. I have coughed all night.,1. நான் நிறைய இருமுகிறேன். // 2. அவர் சத்தமாக இருமினார். // 3. நான் இரவு முழுவதும் இருமினேன்.,1. मुझे बहुत खांसी आती है। // 2. वह ज़ोर से खाँसा। // 3. मुझे रात भर खांसी हुई है।
Couple / Coupled / Coupled,Day 82,Beginner,இணை / இணைத்தேன் / இணைத்துள்ளேன்,जोड़ना / जोड़ा / जोड़ चुका,1. I couple the train cars. // 2. They coupled together. // 3. I have coupled the wires.,1. நான் ரயில் பெட்டிகளை இணைக்கிறேன். // 2. அவர்கள் ஜோடி சேர்ந்தனர். // 3. நான் கம்பிகளை இணைத்துள்ளேன்.,1. मैं ट्रेन के डिब्बों को जोड़ता हूँ। // 2. वे साथ जुड़ गए। // 3. मैंने तारों को जोड़ दिया है।
Cover / Covered / Covered,Day 82,Beginner,மூடு / மூடினேன் / மூடியுள்ளேன்,ढकना / ढका / ढक चुका,1. I cover the food. // 2. Snow covered the road. // 3. I have covered the topic.,1. நான் உணவை மூடுகிறேன். // 2. பனி சாலையை மூடியது. // 3. நான் தலைப்பை விளக்கிவிட்டேன் (cover).,1. मैं खाना ढकता हूँ। // 2. बर्फ ने सड़क को ढँक दिया। // 3. मैंने विषय को कवर कर लिया है।
Crack / Cracked / Cracked,Day 82,Beginner,வெடி / வெடித்தது / வெடித்திருக்கிறது,दरार पड़ना / पड़ी / पड़ चुकी,1. I crack the nuts. // 2. He cracked a joke. // 3. The glass has cracked.,1. நான் கொட்டைகளை உடைக்கிறேன். // 2. அவர் ஒரு ஜோக் சொன்னார். // 3. கண்ணாடி விரிசல் விட்டுள்ளது.,1. मैं अखरोट तोड़ता हूँ। // 2. उसने एक चुटकुला सुनाया। // 3. कांच चटक गया है।
Crash / Crashed / Crashed,Day 82,Beginner,மோது / மோதியது / மோதியிருக்கிறது,टकराना / टकराया / टकरा चुका,1. I crash the car. // 2. The plane crashed. // 3. I have crashed the system.,1. நான் காரை மோதச் செய்கிறேன். // 2. விமானம் விபத்துக்குள்ளானது. // 3. நான் கணினியைச் செயலிழக்கச் செய்தேன்.,1. मैं कार टकरा देता हूँ। // 2. विमान दुर्घटनाग्रस्त हो गया। // 3. मैंने सिस्टम क्रैश कर दिया है।
Crawl / Crawled / Crawled,Day 82,Beginner,ஊர்ந்து செல் / சென்றேன் / சென்றுள்ளேன்,रेंगना / रेंग / रेंग चुका,1. Babies crawl. // 2. He crawled under the bed. // 3. The insect has crawled.,1. குழந்தைகள் தவழ்கின்றன. // 2. அவன் கட்டிலுக்கு அடியில் தவழ்ந்து சென்றான். // 3. பூச்சி ஊர்ந்து சென்றுவிட்டது.,1. बच्चे रेंगते (घुटनों के बल) हैं। // 2. वह बिस्तर के नीचे रेंग कर गया। // 3. कीड़ा रेंग चुका है।
Creep / Crept / Crept,Day 83,Beginner,ஊர்ந்து செல் / சென்றேன் / சென்றுள்ளேன்,रेंगना / रेंगा / रेंग चुका,1. Insects creep. // 2. He crept into the room. // 3. Fear has crept in.,1. பூச்சிகள் ஊர்ந்து செல்கின்றன. // 2. அவன் அறைக்குள் மெதுவாக நுழைந்தான். // 3. பயம் மெதுவாகப் பரவியுள்ளது.,1. कीड़े रेंगते हैं। // 2. वह कमरे में दबे पाँव घुसा। // 3. डर समा गया है।
Cross / Crossed / Crossed,Day 83,Beginner,கடந்து செல் / சென்றேன் / சென்றுள்ளேன்,पार करना / किया / कर चुका,1. I cross the road. // 2. He crossed the line. // 3. I have crossed the limit.,1. நான் சாலையைக் கடக்கிறேன். // 2. அவர் எல்லையைத் தாண்டினார். // 3. நான் வரம்பைத் தாண்டிவிட்டேன்.,1. मैं सड़क पार करता हूँ। // 2. उसने रेखा पार की। // 3. मैंने सीमा पार कर ली है।
Crush / Crushed / Crushed,Day 83,Beginner,நசுக்கு / நசுக்கினேன் / நசுக்கியுள்ளேன்,कुचलना / कुचला / कुचल चुका,1. I crush the ice. // 2. He crushed my hopes. // 3. I have crushed the enemy.,1. நான் பனிக்கட்டியை நசுக்குகிறேன். // 2. அவர் என் நம்பிக்கையைத் தகர்த்தார். // 3. நான் எதிரியை அழித்துவிட்டேன்.,1. मैं बर्फ कुचलता हूँ। // 2. उसने मेरी उम्मीदें तोड़ दीं। // 3. मैंने दुश्मन को कुचल दिया है।
Cry / Cried / Cried,Day 83,Beginner,அழு / அழுதேன் / அழுதுள்ளேன்,रोना / रोया / रो चुका,1. I cry for help. // 2. She cried yesterday. // 3. I have cried a lot.,1. நான் உதவிக்காக அழுகிறேன் (அலறுகிறேன்). // 2. அவள் நேற்று அழுதாள். // 3. நான் நிறைய அழுதுவிட்டேன்.,1. मैं मदद के लिए चिल्लाता हूँ। // 2. वह कल रोई थी। // 3. मैं बहुत रोया हूँ।
Cure / Cured / Cured,Day 83,Beginner,குணப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,ठीक करना / किया / कर चुका,1. Doctors cure patients. // 2. He cured my illness. // 3. I have cured the leather.,1. மருத்துவர்கள் நோயாளிகளைக் குணப்படுத்துகிறார்கள். // 2. அவர் என் நோயைக் குணப்படுத்தினார். // 3. நான் தோலைப் பதப்படுத்தியுள்ளேன் (cure).,1. डॉक्टर मरीजों का इलाज करते हैं। // 2. उसने मेरी बीमारी ठीक कर दी। // 3. मैंने चमड़े को उपचारित किया है।
