Day Number,Difficulty,English,Tamil (தமிழ்),Hindi (हिंदी)
Day 74,beginner.,Wait for a minute.,ஒரு நிமிடம் காத்திருங்கள்.,एक मिनट रुकिए। (Ek minute rukiye.)
Day 74,beginner.,I don't know.,எனக்குத் தெரியாது.,मुझे नहीं पता। (Mujhe nahi pata.)
Day 74,beginner.,Do you understand?,உங்களுக்குப் புரிகிறதா?,क्या आप समझ गए? (Kya aap samajh gaye?)
Day 74,beginner.,Say it again.,மீண்டும் சொல்லுங்கள்.,फिर से कहो। (Phir se kaho.)
Day 74,beginner.,Speak slowly.,மெதுவாகப் பேசுங்கள்.,धीरे बोलो। (Dheere bolo.)
Day 75,beginner.,Listen to me.,நான் சொல்வதைக் கேளுங்கள்.,मेरी बात सुनो। (Meri baat suno.)
Day 75,beginner.,Where is your house?,உங்கள் வீடு எங்கே இருக்கிறது?,आपका घर कहाँ है? (Aapka ghar kahan hai?)
Day 75,beginner.,It is very near.,அது மிக அருகில் உள்ளது.,यह बहुत पास है। (Yeh bahut paas hai.)
Day 75,beginner.,Turn left here.,இங்கே இடதுபுறம் திரும்புங்கள்.,यहाँ से बाएं मुड़ें। (Yahan se baayein mudein.)
Day 75,beginner.,Don't add sugar.,சர்க்கரை சேர்க்க வேண்டாம்.,चीनी मत डालो। (Cheeni mat daalo.)
Day 76,beginner.,Bring the bill.,பில் கொண்டு வாருங்கள்.,बिल ले आओ। (Bill le aao.)
Day 76,beginner.,Nothing happened.,ஒன்றும் நடக்கவில்லை.,कुछ नहीं हुआ। (Kuch nahi hua.)
Day 76,beginner.,I forgot it.,நான் அதை மறந்துவிட்டேன்.,मैं भूल गया। (Main bhool gaya.)
Day 76,beginner.,It is too expensive.,இது விலை அதிகம்.,यह बहुत महंगा है। (Yeh bahut mehnga hai.)
Day 76,beginner.,Can you reduce the price?,விலையைக் குறைக்க முடியுமா?,क्या आप दाम कम कर सकते हैं? (Kya aap daam kam kar sakte hain?)
Day 77,beginner.,I will buy this.,நான் இதை வாங்குவேன்.,मैं इसे खरीदूँगा। (Main ise khareedunga.)
Day 77,beginner.,Switch off the fan.,மின்விசிறியை அணைக்கவும். (Minvisiriyai anaikkavum.),पंखा बंद करो। (Pankha band karo.)
Day 77,beginner.,It is very dark.,மிகவும் இருட்டாக இருக்கிறது. (Migavum iruttaga irukkiradhu.),बहुत अंधेरा है। (Bahut andhera hai.)
Day 77,beginner.,Where is the switch?,சுவிட்ச் எங்கே இருக்கிறது? (Switch engay irukkiradhu?),स्विच कहाँ है? (Switch kahan hai?)
Day 77,beginner.,I can't see anything.,என்னால் எதையும் பார்க்க முடியவில்லை. (Ennal edhaiyum paarkka mudiyavillai.),मुझे कुछ दिखाई नहीं दे रहा है। (Mujhe kuch dikhai nahi de raha hai.)
Day 78,beginner.,It was a busy day.,இன்று பரபரப்பான நாள். (Indru paraparappaana naal.),आज बहुत व्यस्त दिन था। (Aaj bahut vyast din tha.)
Day 78,beginner.,I am very happy.,நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன். (Naan migavum magizhchiyaaga irukkiren.),मैं बहुत खुश हूँ। (Main bahut khush hoon.)
Day 78,beginner.,Did you eat lunch?,நீங்கள் மதிய உணவு சாப்பிட்டீர்களா? (Neengal madhiya unavu saappitteergala?),क्या आपने दोपहर का भोजन किया? (Kya aapne dopahar ka bhojan kiya?)
Day 78,beginner.,I am not hungry.,எனக்கு பசிக்கவில்லை. (Enakku pasikkavillai.),मुझे भूख नहीं लगी है। (Mujhe bhookh nahi lagi hai.)
Day 78,beginner.,What is your hobby?,உங்கள் பொழுதுபோக்கு என்ன? (Ungal pozhudhu-pokku enna?),आपका शौक क्या है? (Aapka shauk kya hai?)
Day 79,beginner.,I like reading books.,எனக்கு புத்தகம் வாசிப்பது பிடிக்கும். (Enakku puthagam vaasippadhu pidikkum.),मुझे किताबें पढ़ना पसंद है। (Mujhe kitaabein padhna pasand hai.)
Day 79,beginner.,Do you play sports?,நீங்கள் விளையாடுவீர்களா? (Neengal vilaiyaaduveergala?),क्या आप खेल खेलते हैं? (Kya aap khel khelte hain?)
Day 79,beginner.,I like to play cricket.,எனக்கு கிரிக்கெட் விளையாட பிடிக்கும். (Enakku cricket vilaiyaada pidikkum.),मुझे क्रिकेट खेलना पसंद है। (Mujhe cricket khelna pasand hai.)
Day 79,beginner.,Let's play together.,நாம் சேர்ந்து விளையாடுவோம். (Naam serndhu vilaiyaaduvoam.),चलो साथ खेलते हैं। (Chalo saath khelte hain.)
Day 79,beginner.,Wash the clothes.,துணிகளைத் துவையுங்கள். (Thunigalaith thovaiyungal.),कपड़े धो लो। (Kapde dho lo.)
Day 80,beginner.,Dry them in the sun.,அவற்றை வெயிலில் காயப்போடுங்கள். (Avatrai veyilil kaayappodungal.),उन्हें धूप में सुखा दें। (Unhein dhoop mein sukha dein.)
Day 80,beginner.,Iron the shirt.,சட்டையை இஸ்திரி செய்யுங்கள். (Sattaiyai isthiri seiyungal.),शर्ट प्रेस करो। (Shirt press karo.)
Day 80,beginner.,It is very clean.,அது மிகவும் சுத்தமாக இருக்கிறது. (Adhu migavum suththamaaga irukkiradhu.),यह बहुत साफ है। (Yeh bahut saaf hai.)
Day 80,beginner.,What did you buy?,நீங்கள் என்ன வாங்கினீர்கள்? (Neengal enna vaangineergal?),आपने क्या खरीदा? (Aapne kya khareeda?)
Day 80,beginner.,I bought some fruits.,நான் சில பழங்கள் வாங்கினேன். (Naan sila pazhangal vaanginen.),मैंने कुछ फल खरीदे। (Maine kuch phal khareede.)
Day 81,beginner.,Are they fresh?,அவை புதியவையா? (Avai pudhiyavaiya?),क्या वे ताज़ा हैं? (Kya ve taaza hain?)
Day 81,beginner.,Taste this mango.,இந்த மாம்பழத்தைச் சுவைத்துப் பாருங்கள். (Indha maambazhaththaich suvaithu paarungal.),इस आम को चखें। (Is aam ko chakhein.)
Day 81,beginner.,It is very sweet.,இது மிகவும் இனிப்பாக இருக்கிறது. (Idhu migavum inippaaga irukkiradhu.),यह बहुत मीठा है। (Yeh bahut meetha hai.)
Day 81,beginner.,Don't go outside.,வெளியே செல்லாதீர்கள். (Veliyay sellaadheergal.),बाहर मत जाओ। (Baahar mat jao.)
Day 81,beginner.,It is raining heavily.,மழை பலமாக பெய்கிறது. (Mazhai balamaaga peigiradhu.),तेज़ बारिश हो रही है। (Tez baarish ho rahi hai.)
Day 82,beginner.,Wear your coat.,உங்கள் கோட்டைப் போடுங்கள். (Ungal coat-ai podungal.),अपना कोट पहनें। (Apna coat pehnein.)
Day 82,beginner.,You will get sick.,உங்களுக்கு உடல்நிலை சரியில்லாமல் போகும். (Ungalukku udalnilai sariyillamal pogum.),आप बीमार हो जाएंगे। (Aap bimaar ho jayenge.)
Day 82,beginner.,Come inside quickly.,சீக்கிரம் உள்ளே வாருங்கள். (Seekkiram ullay vaarungal.),जल्दी अंदर आओ। (Jaldi andar aao.)
Day 82,beginner.,Lie down for a while.,சிறிது நேரம் படுத்துக் கொள்ளுங்கள். (Siridhu neram paduththuk kollungal.),थोड़ी देर लेट जाओ। (Thodi der let jao.)
Day 82,beginner.,Do you need a doctor?,உங்களுக்கு மருத்துவர் தேவையா? (Ungalukku maruthuvar thevaiya?),क्या आपको डॉक्टर की ज़रूरत है? (Kya aapko doctor ki zaroorat hai?)
Day 83,beginner.,I will take a pill.,நான் ஒரு மாத்திரை சாப்பிடுகிறேன். (Naan oru maathirai saappidugiren.),मैं एक गोली लूँगा। (Main ek goli loonga.)
Day 83,beginner.,Get well soon.,விரைவில் குணமடையுங்கள். (Viraivil kunamadaiyungal.),जल्दी ठीक हो जाइए। (Jaldi theek ho jaiye.)
Day 83,beginner.,Look at the mirror.,கண்ணாடியைப் பாருங்கள். (Kannaadiyaip paarungal.),आईने में देखो। (Aaine mein dekho.)
Day 83,beginner.,Comb your hair.,தலைமுடியைச் சீவுங்கள். (Thalamudiyais seevungal.),अपने बाल संवारें। (Apne baal sanwarein.)
Day 83,beginner.,You look nice.,நீங்கள் பார்க்க நன்றாக இருக்கிறீர்கள். (Neengal paarkka nandraga irukkireergal.),आप अच्छे लग रहे हैं। (Aap acche lag rahe hain.)
Day 84,beginner.,Is the party today?,விருந்து இன்றா? (Virundhu indraa?),क्या पार्टी आज है? (Kya party aaj hai?)
Day 84,beginner.,We should leave now.,நாம் இப்பொழுதே கிளம்ப வேண்டும். (Naam ippozhudhay kilamba vendum.),हमें अब निकलना चाहिए। (Humein ab nikalna chahiye.)
Day 84,beginner.,Who is calling?,யார் அழைக்கிறார்கள்? (Yaar azhaikkiraargal?),कौन बुला रहा है? (Kaun bula raha hai?)
Day 84,beginner.,Your brother is here.,உங்கள் சகோதரன் இங்கே இருக்கிறான். (Ungal sagodharan ingay irukkiraan.),आपका भाई यहाँ है। (Aapka bhai yahan hai.)
Day 84,beginner.,Tell him to wait.,அவரை காத்திருக்கச் சொல்லுங்கள். (Avarai kaaththirukkach sollungal.),उसे इंतज़ार करने के लिए कहें। (Use intezaar karne ke liye kahein.)
Day 85,beginner.,Give him some tea.,அவருக்கு கொஞ்சம் தேநீர் கொடுங்கள். (Avarukku konjam theneer kodungal.),उन्हें थोड़ी चाय दें। (Unhein thodi chai dein.)
Day 85,beginner.,I will come in 5 minutes.,நான் 5 நிமிடத்தில் வருவேன். (Naan 5 nimidaththil varuven.),मैं 5 मिनट में आऊंगा। (Main 5 minute mein aaunga.)
Day 85,beginner.,Keep it clean.,இதை சுத்தமாக வைத்திருங்கள். (Idhai suththamaaga vaiththirungal.),इसे साफ रखें। (Ise saaf rakhein.)
Day 85,beginner.,Don't throw trash.,குப்பையை வீசாதீர்கள். (Kuppaiyai veesaadheergal.),कचरा मत फेंको। (Kachra mat phenko.)
Day 85,beginner.,Use the dustbin.,குப்பைத் தொட்டியைப் பயன்படுத்துங்கள். (Kuppaith thottiyaip payanpaduththungal.),कूड़ेदान का प्रयोग करें। (Kudedaan ka prayog karen.)
Day 86,beginner.,This is a good habit.,இது ஒரு நல்ல பழக்கம். (Idhu oru nalla pazhakkam.),यह एक अच्छी आदत है। (Yeh ek acchi aadat hai.)
Day 86,beginner.,Everyone should follow.,அனைவரும் இதைப் பின்பற்ற வேண்டும். (Anaivarum idhaip pinpatra vendum.),सभी को इसका पालन करना चाहिए। (Sabhi ko iska paalan karna chahiye.)
Day 86,beginner.,Close your eyes.,கண்களை மூடுங்கள். (Kankalai moodungal.),अपनी आँखें बंद करो। (Apni aankhein band karo.)
Day 86,beginner.,Sleep for a while.,சிறிது நேரம் தூங்குங்கள். (Siridhu neram thoongungal.),थोड़ी देर सो जाओ। (Thodi der so jao.)
Day 86,beginner.,Did you have a dream?,உங்களுக்கு கனவு வந்ததா? (Ungalukku kanavu vandhadha?),क्या आपको कोई सपना आया? (Kya aapko koi sapna aaya?)
Day 87,beginner.,Wake up early.,சீக்கிரம் எழுந்திருங்கள். (Seekkiram ezhundhirungal.),जल्दी उठो। (Jaldi utho.)
Day 87,beginner.,It is morning now.,இப்போது காலை நேரம். (Ippo dhu kaalai neram.),अब सुबह हो गई है। (Ab subah ho gayi hai.)
Day 87,beginner.,Is the water hot?,தண்ணீர் சுடாக இருக்கிறதா? (Thanneer sudaaga irukkiradha?),क्या पानी गर्म है? (Kya paani garm hai?)
Day 87,beginner.,"No, it is cold.","இல்லை, அது குளிர்ச்சியாக இருக்கிறது. (Illai, adhu kulirchiyaaga irukkiradhu.)","नहीं, यह ठंडा है। (Nahi, yeh thanda hai.)"
Day 87,beginner.,Mix some hot water.,கொஞ்சம் சுடு தண்ணீர் கலக்கவும். (Konjam sudu thanneer kalakkavum.),थोड़ा गर्म पानी मिलाओ। (Thoda garm paani milao.)
Day 88,beginner.,Now it is correct.,இப்போது சரியாக உள்ளது. (Ippodhu sariyaaga ulladha.),अब यह सही है। (Ab yeh sahi hai.)
Day 88,beginner.,Take a bath.,குளியுங்கள். (Kuliyungal.),स्नान करें। (Snaan karen.)
Day 88,beginner.,Where is my umbrella?,என் குடை எங்கே? (En kudai engay?),मेरा छाता कहाँ है? (Mera chhaata kahan hai?)
Day 88,beginner.,It is behind the door.,அது கதவுக்கு பின்னால் இருக்கிறது. (Adhu kadhavukku pinnaal irukkiradhu.),वह दरवाजे के पीछे है। (Wah darwaze ke peeche hai.)
Day 88,beginner.,I can't find it.,என்னால் அதை கண்டுபிடிக்க முடியவில்லை. (Ennaal adhai kandupidikka mudiyavillai.),मुझे यह नहीं मिल रहा है। (Mujhe yeh nahi mil raha hai.)
Day 89,beginner.,Look again carefully.,மீண்டும் கவனமாகப் பாருங்கள். (Meendum gavanamaagap paarungal.),फिर से ध्यान से देखो। (Phir se dhyan se dekho.)
Day 89,beginner.,"Oh, I got it.","ஓ, எனக்கு கிடைத்துவிட்டது. (Oh, enakku kidaithuvittadhu.)","ओह, मुझे मिल गया। (Oh, mujhe mil gaya.)"
Day 89,beginner.,Do you like sweets?,உங்களுக்கு இனிப்பு பிடிக்குமா? (Ungalukku inippu pidikkuma?),क्या आपको मिठाई पसंद है? (Kya aapko mithai pasand hai?)
Day 89,beginner.,I like chocolate.,எனக்கு சாக்லேட் பிடிக்கும். (Enakku chocolate pidikkum.),मुझे चॉकलेट पसंद है। (Mujhe chocolate pasand hai.)
Day 89,beginner.,Don't eat too much.,அதிகமாக சாப்பிட வேண்டாம். (Adhigamaaga saappida vendaam.),बहुत ज्यादा मत खाओ। (Bahut zyada mat khao.)
Day 90,beginner.,Your teeth will ache.,உங்கள் பற்கள் வலிக்கும். (Ungal parkal valikkum.),आपके दांतों में दर्द होगा। (Aapke daanto mein dard hoga.)
Day 90,beginner.,I will wash my mouth.,நான் வாயைக் கழுவுவேன். (Naan vaayaik kazhuvuven.),मैं अपना मुँह धोऊँगा। (Main apna munh dhoonga.)
Day 90,beginner.,The garden is beautiful.,தோட்டம் அழகாக இருக்கிறது. (Thottam azhagaaga irukkiradhu.),बगीचा सुंदर है। (Bageecha sundar hai.)
Day 90,beginner.,Look at the flowers.,பூக்களைப் பாருங்கள். (Pookkalaip paarungal.),फूलों को देखो। (Phoolon ko dekho.)
Day 90,beginner.,Don't pluck them.,அவற்றைப் பறிக்காதீர்கள். (Avatraip parikkaadheergal.),उन्हें मत तोड़ो। (Unhein mat todo.)
Day 91,beginner.,Water the plants.,செடிகளுக்கு தண்ணீர் ஊற்றவும். (Sedigalukku thanneer ootravum.),पौधों को पानी दो। (Paudhon ko paani do.)
Day 91,beginner.,Birds are singing.,பறவைகள் பாடுகின்றன. (Paravaigal paadugindrana.),पक्षी गा रहे हैं। (Pakshi gaa rahe hain.)
Day 91,beginner.,I am going to market.,நான் சந்தைக்குச் செல்கிறேன். (Naan sandhaikkuch selgiren.),मैं बाजार जा रहा हूँ। (Main bazaar ja raha hoon.)
Day 91,beginner.,Don't forget onions.,வெங்காயத்தை மறக்க வேண்டாம். (Vengaayathai marakka vendaam.),प्याज मत भूलना। (Pyaaz mat bhoolna.)
Day 91,beginner.,Is the market open?,சந்தை திறந்துள்ளதா? (Sandhai thirandhulladha?),क्या बाजार खुला है? (Kya bazaar khula hai?)
Day 92,beginner.,"Yes, it is open.","ஆம், அது திறந்துதான் இருக்கிறது. (Aam, adhu thirandhudhaan irukkiradhu.)","हाँ, यह खुला है। (Haan, yeh khula hai.)"
Day 92,beginner.,The car is dirty.,கார் அழுக்காக இருக்கிறது. (Car azhukkaaga irukkiradhu.),कार गंदी है। (Car gandi hai.)
Day 92,beginner.,Clean the window.,ஜன்னலைத் துடையுங்கள். (Jannalaith thudaiyungal.),खिड़की साफ करो। (Khidki saaf karo.)
Day 92,beginner.,We need more soap.,நமக்கு இன்னும் சோப்பு தேவை. (Namakku innum soap thevai.),हमें और साबुन चाहिए। (Humein aur saabun chahiye.)
Day 92,beginner.,Use the cloth.,துணியைப் பயன்படுத்துங்கள். (Thuniyaip payanpaduthungal.),कपड़े का प्रयोग करें। (Kapde ka prayog karen.)
Day 93,beginner.,Now it is shining.,இப்போது அது மின்னுகிறது. (Ippodhu adhu minnugiradhu.),अब यह चमक रहा है। (Ab yeh chamak raha hai.)
Day 93,beginner.,Can you drive?,உங்களால் ஓட்ட முடியுமா? (Ungalaal otta mudiyuma?),क्या आप गाड़ी चला सकते हैं? (Kya aap gaadi chala sakte hain?)
Day 93,beginner.,I am learning now.,நான் இப்போது கற்றுக் கொள்கிறேன். (Naan ippodhu kattruk kolgiren.),मैं अभी सीख रहा हूँ। (Main abhi seekh raha hoon.)
Day 93,beginner.,Drive very slowly.,மிகவும் மெதுவாக ஓட்டுங்கள். (Migavum medhuvaaga ottungal.),बहुत धीरे चलाओ। (Bahut dheere chalao.)
Day 93,beginner.,Watch the road.,சாலையைப் பாருங்கள். (Saalaipaip paarungal.),सड़क को देखो। (Sadak ko dekho.)
Day 94,beginner.,Stop at the signal.,சிக்னலில் நில்லுங்கள். (Signal-il nillungal.),सिग्नल पर रुकें। (Signal par rukein.)
Day 94,beginner.,Where is the baby?,குழந்தை எங்கே? (Kuzhandhai engay?),बच्चा कहाँ है? (Baccha kahan hai?)
Day 94,beginner.,The baby is sleeping.,குழந்தை தூங்குகிறது. (Kuzhandhai thoongugiradhu.),बच्चा सो रहा है। (Baccha so raha hai.)
Day 94,beginner.,Give the milk bottle.,பால் பாட்டிலைக் கொடுங்கள். (Paal baattilaik kodungal.),दूध की बोतल दो। (Doodh ki botal do.)
Day 94,beginner.,The baby is crying.,குழந்தை அழுகிறது. (Kuzhandhai azhugiradhu.),बच्चा रो रहा है। (Baccha ro raha hai.)
Day 95,beginner.,It is my birthday.,இன்று எனது பிறந்தநாள். (Indru enadhu pirandhanaal.),आज मेरा जन्मदिन है। (Aaj mera janmadin hai.)
Day 95,beginner.,Happy birthday to you!,உங்களுக்கு இனிய பிறந்தநாள் வாழ்த்துக்கள்! (Ungalukku iniya pirandhanaal vaazhthukkal!),आपको जन्मदिन मुबारक हो! (Aapko janmadin mubarak ho!)
Day 95,beginner.,Where is the cake?,கேக் எங்கே? (Cake engay?),केक कहाँ है? (Cake kahan hai?)
Day 95,beginner.,Cut the cake.,கேக்கை வெட்டுங்கள். (Cake-ai vettungal.),केक काटो। (Cake kaato.)
Day 95,beginner.,Enjoy the party!,விருந்தை அனுபவியுங்கள்! (Virundhai anubhaviyungal!),पार्टी का आनंद लें! (Party ka aanand lein!)
Day 96,beginner.,Close the tap.,குழாயை மூடுங்கள். (Kuzhaayai moodungal.),नल बंद करो। (Nal band karo.)
Day 96,beginner.,Don't waste water.,தண்ணீரை வீணாக்காதீர்கள். (Thanneerai veenaakkaadheergal.),पानी बर्बाद मत करो। (Paani barbaad mat karo.)
Day 96,beginner.,Fill the bucket.,வாலியை நிரப்புங்கள். (Vaaliyai nirappungal.),बाल्टी भर दो। (Baalti bhar do.)
Day 96,beginner.,The water is overflowing.,தண்ணீர் வழிந்து ஓடுகிறது. (Thanneer vazhindhu odigiradhu.),पानी बह रहा है। (Paani beh raha hai.)
Day 96,beginner.,Use it carefully.,அதை கவனமாகப் பயன்படுத்துங்கள். (Adhai gavanamaagap payanpaduththungal.),इसे सावधानी से इस्तेमाल करें। (Ise saavdhani se istemaal karen.)
Day 97,beginner.,Where is your school?,உங்கள் பள்ளி எங்கே இருக்கிறது? (Ungal palli engay irukkiradhu?),आपका स्कूल कहाँ है? (Aapka school kahan hai?)
Day 97,beginner.,I go by bus.,நான் பேருந்தில் செல்கிறேன். (Naan perundhil selgiren.),मैं बस से जाता हूँ। (Main bus se jaata hoon.)
Day 97,beginner.,Do you have homework?,உங்களுக்கு வீட்டுப்பாடம் இருக்கிறதா? (Ungalukku veettuppaadam irukkiradha?),क्या आपके पास होमवर्क है? (Kya aapke paas homework hai?)
Day 97,beginner.,I finished my work.,நான் என் வேலையை முடித்துவிட்டேன். (Naan en velaiyai mudiththuvitten.),मैंने अपना काम पूरा कर लिया है। (Maine apna kaam poora kar liya hai.)
Day 97,beginner.,Study well.,நன்றாகப் படியுங்கள். (Nandraga padiyungal.),अच्छी तरह से पढ़ाई करो। (Acchi tarah se padhai karo.)
Day 98,beginner.,It is very windy.,காற்று பலமாக வீசுகிறது. (Kaatru balamaaga veesugiradhu.),बहुत तेज़ हवा चल रही है। (Bahut tez hawa chal rahi hai.)
Day 98,beginner.,Hold your hat.,உங்கள் தொப்பியைப் பிடித்துக் கொள்ளுங்கள். (Ungal thoppiyaip pidiththuk kollungal.),अपनी टोपी पकड़ो। (Apni topi pakdo.)
Day 98,beginner.,The door is banging.,கதவு தட்டுகிறது. (Kadhavu thattugiradhu.),दरवाजा खटखटा रहा है। (Darwaza khatkhata raha hai.)
Day 98,beginner.,Keep the key safe.,சாவியைப் பத்திரமாக வைத்திருங்கள். (Saaviyai paththiramaaga vaiththirungal.),चाबी सुरक्षित रखें। (Chabi surakshit rakhein.)
Day 98,beginner.,Are you hungry?,உங்களுக்குப் பசிக்கிறதா? (Ungalukkup pasikkiradha?),क्या आपको भूख लगी है? (Kya aapko bhookh lagi hai?)
Day 99,beginner.,I want to eat something.,நான் ஏதாவது சாப்பிட வேண்டும். (Naan eedhaavadhu saappida vendum.),मैं कुछ खाना चाहता हूँ। (Main kuch khaana chahta hoon.)
Day 99,beginner.,Is the food ready?,உணவு தயாராகிவிட்டதா? (Unavu thayaaraagivittadha?),क्या खाना तैयार है? (Kya khana taiyar hai?)
Day 99,beginner.,Sit at the table.,மேஜையில் உட்காருங்கள். (Mejaiyil utkaarungal.),मेज पर बैठो। (Mez par baitho.)
Day 99,beginner.,Serve the food.,உணவைப் பரிமாறுங்கள். (Unavaip parimaarungal.),खाना परोसें। (Khana parosein.)
Day 99,beginner.,Do you like music?,உங்களுக்கு இசை பிடிக்குமா? (Ungalukku isai pidikkuma?),क्या आपको संगीत पसंद है? (Kya aapko sangeet pasand hai?)
Day 100,beginner.,I am listening to songs.,நான் பாடல்களைக் கேட்டுக் கொண்டிருக்கிறேன். (Naan paadalgalaik kettuk kondirukkiren.),मैं गाने सुन रहा हूँ। (Main gaane sun raha hoon.)
Day 100,beginner.,Turn up the volume.,ஒலியளவை உயர்த்துங்கள். (Oliyalaivai uyarththungal.),आवाज़ बढ़ाओ। (Awaaz badhao.)
Day 100,beginner.,It is too loud.,சத்தம் மிக அதிகமாக உள்ளது. (Saththam miga adhigamaaga ulladhu.),यह बहुत तेज़ है। (Yeh bahut tez hai.)
Day 100,beginner.,Lower the volume.,சத்தத்தைக் குறைக்கவும். (Saththaththaik kuraikkavum.),आवाज़ कम करो। (Awaaz kam karo.)
Day 100,beginner.,Where is the post office?,தபால் நிலையம் எங்கே இருக்கிறது? (Thabaal nilaiyam engay irukkiradhu?),डाकघर कहाँ है? (Dakghar kahan hai?)
Day 101,beginner.,I want to send a letter.,நான் ஒரு கடிதம் அனுப்ப வேண்டும். (Naan oru kadidham anuppa vendum.),मैं एक पत्र भेजना चाहता हूँ। (Main ek patra bhejna chahta hoon.)
Day 101,beginner.,Buy some stamps.,சில தபால் தலைகளை வாங்குங்கள். (Sila thabaal thalaigalai vaangungal.),कुछ स्टैम्प खरीदें। (Kuch stamp khareedein.)
Day 101,beginner.,Paste it here.,அதை இங்கே ஒட்டுங்கள். (Adhai ingay ottungal.),इसे यहाँ चिपकाएँ। (Ise yahan chipkayein.)
Day 101,beginner.,Drop it in the box.,அதை பெட்டியில் போடுங்கள். (Adhai pettiyil podungal.),इसे बॉक्स में डाल दें। (Ise box mein daal dein.)
Day 101,beginner.,The sun is rising.,சூரியன் உதிக்கிறது. (Sooriyan udhikkiradhu.),सूरज उग रहा है। (Suraj ug raha hai.)
Day 102,beginner.,It is a bright day.,இது ஒரு பிரகாசமான நாள். (Idhu oru piragaasamaana naal.),यह एक उज्ज्वल दिन है। (Yeh ek ujjwal din hai.)
Day 102,beginner.,Wear your sunglasses.,உங்கள் வெயில் கண்ணாடியை அணியுங்கள். (Ungal veyil kannaadiyai aniyungal.),अपनी धूप का चश्मा पहनें। (Apni dhoop ka chashma pehnein.)
Day 102,beginner.,It is too sunny.,வெயில் மிக அதிகமாக உள்ளது. (Veyil miga adhigamaaga ulladhu.),बहुत धूप है। (Bahut dhoop hai.)
Day 102,beginner.,Let's sit in the shade.,நிழலில் உட்காருவோம். (Nizhalil utkaaruvoam.),चलो छाया में बैठते हैं। (Chalo chhaya mein baithte hain.)
Day 102,beginner.,Can you swim?,உங்களால் நீந்த முடியுமா? (Ungalaal neendha mudiyuma?),क्या आप तैर सकते हैं? (Kya aap tair sakte hain?)
Day 103,beginner.,I am afraid of water.,எனக்குத் தண்ணீரைக் கண்டால் பயம். (Enakkuth thanneeraik kandaal bayam.),मुझे पानी से डर लगता है। (Mujhe paani se darr lagta hai.)
Day 103,beginner.,The water is deep.,தண்ணீர் ஆழமாக இருக்கிறது. (Thanneer aazhamaaga irukkiradhu.),पानी गहरा है। (Paani gehra hai.)
Day 103,beginner.,Stay near the shore.,கரைக்கு அருகிலேயே இருங்கள். (Karaikku arugilayay irungal.),किनारे के पास रहें। (Kinare ke paas rahein.)
Day 103,beginner.,It is very refreshing.,இது மிகவும் புத்துணர்ச்சியாக இருக்கிறது. (Idhu migavum puthunarchiyaaga irukkiradhu.),यह बहुत ताज़ा है। (Yeh bahut taaza hai.)
Day 103,beginner.,Do you have a pet?,உங்களிடம் செல்லப் பிராணி இருக்கிறதா? (Ungalidam sella-praani irukkiradha?),क्या आपके पास कोई पालतू जानवर है? (Kya aapke paas koi paaltu jaanwar hai?)
Day 104,beginner.,I have a small dog.,என்னிடம் ஒரு சிறிய நாய் உள்ளது. (Ennidam oru siriya naay ulladhu.),मेरे पास एक छोटा कुत्ता है। (Mere paas ek chhota kutta hai.)
Day 104,beginner.,What is its name?,அதன் பெயர் என்ன? (Adhan peyar enna?),इसका नाम क्या है? (Iska naam kya hai?)
Day 104,beginner.,It likes to play.,அது விளையாட விரும்புகிறது. (Adhu vilaiyaada virumbugiradhu.),इसे खेलना पसंद है। (Ise khelna pasand hai.)
Day 104,beginner.,Feed the dog.,நாய்க்கு உணவளிக்கவும். (Naaykku unavalikkavum.),कुत्ते को खाना खिलाओ। (Kutte ko khana khilao.)
Day 104,beginner.,Turn off the TV.,டிவியை அணைக்கவும். (TV-ai anaikkavum.),टीवी बंद कर दो। (TV band kar do.)
Day 105,beginner.,Set the alarm.,அலாரம் வைக்கவும். (Alarm vaikkavum.),अलार्म लगाओ। (Alarm lagao.)
Day 105,beginner.,Good night.,இனிய இரவு வணக்கம். (Iniya iravu vanakkam.),शुभ रात्रि। (Shubh raatri.)
Day 105,beginner.,See you tomorrow.,நாளை சந்திப்போம். (Naalai sandhippoam.),कल मिलते हैं। (Kal milte hain.)
Day 105,beginner.,Look at the stars.,நட்சத்திரங்களைப் பாருங்கள். (Natchathirangalaip paarungal.),तारों को देखो। (Taaron ko dekho.)
Day 105,beginner.,The moon is bright.,நிலவு பிரகாசமாக உள்ளது. (Nilavu piragaasamaaga ulladhu.),चाँद चमक रहा है। (Chaand chamak raha hai.)
Day 106,beginner.,It is a quiet night.,இது ஒரு அமைதியான இரவு. (Idhu oru amaidhiyaana iravu.),यह एक शांत रात है। (Yeh ek shaant raat hai.)
Day 106,beginner.,Are you sleepy?,உங்களுக்குத் தூக்கம் வருகிறதா? (Ungalukkuth thookkam varugiradha?),क्या आपको नींद आ रही है? (Kya aapko neend aa rahi hai?)
Day 106,beginner.,Go to bed.,படுக்கைக்குச் செல்லுங்கள். (Padukkaikkuch sellungal.),सो जाओ। (So jao.)
Day 106,beginner.,Wear your shoes.,உங்கள் காலணிகளை அணியுங்கள். (Ungal kaalanigalai aniyungal.),अपने जूते पहनें। (Apne joote pehnein.)
