English (V1/V2/V3),Day Number,Difficulty Level,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples (V1 // V2 // V3),Tamil Examples (V1 // V2 // V3),Hindi Examples (V1 // V2 // V3)
Estrange / Estranged / Estranged,Day 79,Intermediate,பிரி / பிரித்தேன் / பிரித்துள்ளேன்,दूर करना / किया / कर चुका,1. Don't estrange. // 2. It estranged him. // 3. They are estranged.,1. பிரித்துவிடாதே. // 2. அது அவரைப் பிரித்தது. // 3. அவர்கள் பிரிந்துள்ளனர்.,1. अलग न करें। // 2. इसने उसे अलग किया। // 3. वे अलग हो गए हैं।
Etch / Etched / Etched,Day 80,Intermediate,செதுக்கு / செதுக்கினேன் / செதுக்கியுள்ளேன்,नक्काशी करना / की / कर चुका,1. Etch the glass. // 2. He etched it. // 3. It is etched.,1. கண்ணாடியில் செதுக்கு. // 2. அவர் செதுக்கினார். // 3. அது செதுக்கப்பட்டது.,1. नक्काशी करें। // 2. उसने की। // 3. यह खुदा हुआ है।
Evacuate / Evacuated / Evacuated,Day 80,Intermediate,வெளியேற்று / ஏற்றினேன் / ஏற்றியுள்ளேன்,खाली करना / किया / कर चुका,1. Evacuate the area. // 2. They evacuated. // 3. It was evacuated.,1. இடத்தை விட்டு வெளியேறு. // 2. அவர்கள் வெளியேறினர். // 3. அது காலி செய்யப்பட்டது.,1. जगह खाली करें। // 2. उन्होंने की। // 3. इसे खाली किया गया था।
Evade / Evaded / Evaded,Day 80,Intermediate,தவிர் / தவிர்த்தேன் / தவிர்த்துள்ளேன்,बचना / बचा / बच चुका,1. Evade the taxes. // 2. He evaded. // 3. I have evaded.,1. வரி ஏய்ப்பு செய். // 2. அவர் தப்பினார். // 3. நான் தப்பித்தேன்.,1. कर से बचें। // 2. वह बच गया। // 3. मैं बच गया हूँ।
Evaporate / Evaporated / Evaporated,Day 80,Intermediate,ஆவியாகு / ஆனது / ஆகியுள்ளது,वाष्पित होना / हुआ / हो चुका,1. Water will evaporate. // 2. It evaporated. // 3. It has evaporated.,1. தண்ணீர் ஆவியாகும். // 2. அது ஆவியானது. // 3. அது ஆவியாகிவிட்டது.,1. पानी वाष्पित होगा। // 2. यह हुआ। // 3. यह वाष्पित हो चुका है।
Evict / Evicted / Evicted,Day 80,Intermediate,வெளியேற்று / ஏற்றினேன் / ஏற்றியுள்ளேன்,बेदखल करना / किया / कर चुका,1. Evict the tenant. // 2. He evicted them. // 3. They were evicted.,1. வெளியேற்றவும். // 2. அவர் வெளியேற்றினார். // 3. அவர்கள் வெளியேற்றப்பட்டனர்.,1. बेदखल करें। // 2. उसने किया। // 3. उन्हें बेदखल किया गया था।
Evidence / Evidenced / Evidenced,Day 81,Intermediate,சான்று பகர் / பகர்ந்தேன் / பகர்ந்துள்ளேன்,प्रमाणित करना / किया / कर चुका,1. Evidence your claim. // 2. He evidenced it. // 3. It was evidenced.,1. உரிமைக்கோரலை நிரூபி. // 2. அவர் நிரூபித்தார். // 3. அது நிரூபிக்கப்பட்டது.,1. अपने दावे का प्रमाण दें। // 2. उसने प्रमाण दिया। // 3. प्रमाण दिया गया था।
Evoke / Evoked / Evoked,Day 81,Intermediate,நினைவுபடுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,याद दिलाना / दिलाई / दिला चुका,1. Evoke memories. // 2. It evoked joy. // 3. They were evoked.,1. நினைவுகளைத் தூண்டு. // 2. அது மகிழ்ச்சியைத் தூண்டியது. // 3. அவை தூண்டப்பட்டன.,1. यादें ताजा करें। // 2. इसने खुशी जगाई। // 3. वे जागृत हुए।
Evolve / Evolved / Evolved,Day 81,Intermediate,பரிணமி / மித்தேன் / மித்துள்ளேன்,विकसित होना / हुआ / हो चुका,1. Species will evolve. // 2. It evolved. // 3. Humans have evolved.,1. உயிரினங்கள் பரிணமிக்கும். // 2. அது பரிணமித்தது. // 3. மனிதர்கள் பரிணமித்தனர்.,1. प्रजातियाँ विकसित होंगी। // 2. यह विकसित हुआ। // 3. मनुष्य विकसित हुए हैं।
Exacerbate / Exacerbated / Exacerbated,Day 81,Intermediate,மோசமாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,बिगाड़ना / बिगाड़ा / बिगाड़ चुका,1. Don't exacerbate the pain. // 2. It exacerbated. // 3. Issues were exacerbated.,1. வலியைத் தீவிரப்படுத்தாதே. // 2. அது தீவிரமானது. // 3. பிரச்சினைகள் தீவிரமடைந்தன.,1. दर्द को और न बढ़ाएं। // 2. यह बढ़ गया। // 3. मुद्दे और गंभीर हो गए।
Exalt / Exalted / Exalted,Day 81,Intermediate,உயர்த்து / உயர்த்தினேன் / உயர்த்தியுள்ளேன்,प्रशंसा करना / की / कर चुका,1. Exalt the leader. // 2. They exalted him. // 3. He was exalted.,1. உயர்த்திப் பேசு. // 2. அவர்கள் உயர்த்தினர். // 3. அவர் உயர்த்தப்பட்டார்.,1. महिमामंडन करें। // 2. उन्होंने किया। // 3. वह प्रतिष्ठित हुआ।
Exasperate / Exasperated / Exasperated,Day 82,Intermediate,கோபமூட்டு / ஊட்டினேன் / ஊட்டியுள்ளேன்,गुस्सा दिलाना / दिलाया / चुका,1. Don't exasperate me. // 2. It exasperated him. // 3. I was exasperated.,1. எரிச்சலூட்டாதே. // 2. அது அவருக்கு எரிச்சலூட்டியது. // 3. நான் எரிச்சலடைந்தேன்.,1. मुझे परेशान न करें। // 2. इसने उसे हताश किया। // 3. मैं हताश था।
Excavate / Excavated / Excavated,Day 82,Intermediate,அகழ்ந்தெடு / எடுத்தேன் / எடுத்துள்ளேன்,खुदाई करना / की / कर चुका,1. Excavate the site. // 2. They excavated. // 3. It was excavated.,1. அகழ்வாராய்ச்சி செய். // 2. அவர்கள் தோண்டினர். // 3. அது தோண்டப்பட்டது.,1. खुदाई करें। // 2. उन्होंने खुदाई की। // 3. खुदाई की गई थी।
Exceed / Exceeded / Exceeded,Day 82,Intermediate,மீறு / மீறினேன் / மீறியுள்ளேன்,सीमा पार करना / की / कर चुका,1. Don't exceed the limit. // 2. He exceeded it. // 3. It was exceeded.,1. எல்லையைத் தாண்டாதே. // 2. அவர் தாண்டினார். // 3. அது தாண்டப்பட்டது.,1. सीमा से अधिक न बढ़ें। // 2. वह आगे निकल गया। // 3. सीमा पार हो गई।
Excel / Excelled / Excelled,Day 82,Intermediate,சிறந்து விளங்கு / விளங்கினேன் / விளங்கியுள்ளேன்,श्रेष्ठ होना / था / हो चुका,1. Excel in studies. // 2. He excelled. // 3. You have excelled.,1. படிப்பில் சிறந்து விளங்கு. // 2. அவர் சிறந்து விளங்கினார். // 3. நீ சிறந்து விளங்கினாய்.,1. पढ़ाई में श्रेष्ठ बनें। // 2. वह श्रेष्ठ रहा। // 3. आपने श्रेष्ठ प्रदर्शन किया।
Exclaim / Exclaimed / Exclaimed,Day 82,Intermediate,வியந்து கூறு / கூறினேன் / கூறியுள்ளேன்,चिल्लाना / चिल्लाया / चिल्ला चुका,1. Exclaim in joy. // 2. He exclaimed. // 3. They have exclaimed.,1. ஆச்சரியத்தில் கூச்சலிடு. // 2. அவர் கூச்சலிட்டார். // 3. அவர்கள் கூச்சலிட்டனர்.,1. खुशी में चिल्लाएं। // 2. वह चिल्लाया। // 3. वे चिल्लाए हैं।
Excommunicate / Excommunicated / Excommunicated,Day 83,Intermediate,ஜாதிநீக்கம் செய் / செய்தேன் / செய்துள்ளேன்,बहिष्कृत करना / किया / कर चुका,1. Excommunicate him. // 2. They excommunicated. // 3. He was excommunicated.,1. விலக்கி வை. // 2. அவர்கள் விலக்கினர். // 3. அவர் விலக்கப்பட்டார்.,1. बहिष्कृत करें। // 2. उन्होंने किया। // 3. उसे बहिष्कृत किया गया।
Exculpate / Exculpated / Exculpated,Day 83,Intermediate,குற்றமற்றவர் என நிரூபி / நிரூபித்தேன் / நிரூபித்துள்ளேன்,दोषमुक्त करना / किया / चुका,1. Exculpate the innocent. // 2. It exculpated him. // 3. He was exculpated.,1. குற்றமற்றவர் என நிரூபி. // 2. அது அவரை விடுவித்தது. // 3. அவர் விடுவிக்கப்பட்டார்.,1. दोषमुक्त करें। // 2. इसने उसे दोषमुक्त किया। // 3. वह दोषमुक्त हुआ।
Exemplify / Exemplified / Exemplified,Day 83,Intermediate,உதாரணமாகக் காட்டு / காட்டினேன் / காட்டியுள்ளேன்,उदाहरण देना / दिया / दे चुका,1. Exemplify the rule. // 2. It exemplified. // 3. Values were exemplified.,1. உதாரணமாகக் காட்டு. // 2. அது உதாரணமாக விளங்கியது. // 3. பண்புகள் உதாரணமாகக் காட்டப்பட்டன.,1. उदाहरण दें। // 2. यह उदाहरण बना। // 3. मूल्यों का उदाहरण दिया गया।
Exempt / Exempted / Exempted,Day 83,Intermediate,விலக்கு அளி / அளித்தேன் / அளித்துள்ளேன்,छूट देना / दी / दे चुका,1. Exempt him. // 2. They exempted it. // 3. I am exempted.,1. விலக்கு அளி. // 2. அவர்கள் விலக்கினர். // 3. எனக்கு விலக்கு உண்டு.,1. छूट दें। // 2. उन्होंने छूट दी। // 3. मुझे छूट मिली है।
Exert / Exerted / Exerted,Day 83,Intermediate,முயற்சி செலுத்து / செலுத்தினேன் / செலுத்தியுள்ளேன்,प्रयास करना / किया / कर चुका,1. Exert pressure. // 2. He exerted. // 3. Force was exerted.,1. அழுத்தத்தைக் கொடு. // 2. அவர் கொடுத்தார். // 3. விசை கொடுக்கப்பட்டது.,1. दबाव डालें। // 2. उसने डाला। // 3. बल लगाया गया था।
Exhale / Exhaled / Exhaled,Day 84,Intermediate,மூச்சை வெளிவிடு / விட்டேன் / விட்டுள்ளேன்,सांस छोड़ना / छोड़ी / छोड़ चुका,1. Exhale slowly. // 2. He exhaled. // 3. I have exhaled.,1. மூச்சை வெளியே விடு. // 2. அவர் வெளியிட்டார். // 3. நான் வெளியிட்டேன்.,1. सांस बाहर छोड़ें। // 2. उसने छोड़ी। // 3. मैंने सांस छोड़ी है।
Exhilarate / Exhilarated / Exhilarated,Day 84,Intermediate,குதூகலப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,आनंदित करना / किया / कर चुका,1. It will exhilarate you. // 2. It exhilarated. // 3. I am exhilarated.,1. உங்களை உற்சாகப்படுத்தும். // 2. அது உற்சாகப்படுத்தியது. // 3. நான் உற்சாகமாக இருக்கிறேன்.,1. यह आपको प्रफुल्लित कर देगा। // 2. इसने प्रफुल्लित किया। // 3. मैं प्रफुल्लित हूँ।
Exhort / Exhorted / Exhorted,Day 84,Intermediate,வலியுறுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,उपदेश देना / दिया / दे चुका,1. Exhort the crowd. // 2. He exhorted. // 3. They have exhorted.,1. அறிவுரை கூறு (தூண்டு). // 2. அவர் தூண்டினார். // 3. அவர்கள் தூண்டினர்.,1. प्रोत्साहित करें (समझाएं)। // 2. उसने समझाया। // 3. उन्होंने समझाया है।
Exhume / Exhumed / Exhumed,Day 84,Intermediate,தோண்டியெடு / எடுத்தேன் / எடுத்துள்ளேன்,खोदकर निकालना / निकाला / चुका,1. Exhume the body. // 2. They exhumed it. // 3. It was exhumed.,1. உடலைத் தோண்டி எடு. // 2. அவர்கள் தோண்டி எடுத்தனர். // 3. அது தோண்டி எடுக்கப்பட்டது.,1. शव को खोदकर निकालें। // 2. उन्होंने निकाला। // 3. इसे खोदकर निकाला गया था।
Exile / Exiled / Exiled,Day 84,Intermediate,நாடுகடத்து / கடத்தினேன் / கடத்தியுள்ளேன்,निर्वासित करना / किया / कर चुका,1. Exile the rebel. // 2. He was exiled. // 3. They have exiled.,1. நாடு கடத்து. // 2. அவர் நாடு கடத்தப்பட்டார். // 3. அவர்கள் நாடு கடத்தினர்.,1. निर्वासित करें। // 2. उसे निर्वासित किया गया था। // 3. उन्होंने निर्वासित किया है।
Exit / Exited / Exited,Day 85,Intermediate,வெளியேறு / ஏறினேன் / ஏறியுள்ளேன்,बाहर निकलना / निकला / निकल चुका,1. Exit the room. // 2. He exited. // 3. I have exited.,1. வெளியேறு. // 2. அவர் வெளியேறினார். // 3. நான் வெளியேறினேன்.,1. बाहर निकलें। // 2. वह बाहर निकला। // 3. मैं बाहर निकल गया हूँ।
Exonerate / Exonerated / Exonerated,Day 85,Intermediate,குற்றமற்றவர் என விடுவி / விடுவித்தேன் / விடுவித்துள்ளேன்,दोषमुक्त करना / किया / चुका,1. Exonerate him. // 2. It exonerated her. // 3. He was exonerated.,1. குற்றமற்றவர் என விடுவி. // 2. அது அவளை விடுவித்தது. // 3. அவர் விடுவிக்கப்பட்டார்.,1. दोषमुक्त करें। // 2. इसने उसे दोषमुक्त किया। // 3. वह दोषमुक्त हो गया।
Expend / Expended / Expended,Day 85,Intermediate,செலவழி / வழித்தேன் / வழித்துள்ளேன்,व्यय करना / किया / कर चुका,1. Expend energy. // 2. He expended funds. // 3. It was expended.,1. செலவிடு. // 2. அவர் செலவிட்டார். // 3. அது செலவிடப்பட்டது.,1. खर्च करें। // 2. उसने खर्च किया। // 3. खर्च किया गया था।
Experiment / Experimented / Experimented,Day 85,Intermediate,பரிசோதனை செய் / செய்தேன் / செய்துள்ளேன்,प्रयोग करना / किया / कर चुका,1. Experiment now. // 2. He experimented. // 3. I have experimented.,1. பரிசோதனை செய். // 2. அவர் பரிசோதித்தார். // 3. நான் பரிசோதித்துள்ளேன்.,1. प्रयोग करें। // 2. उसने प्रयोग किया। // 3. मैंने प्रयोग किया है।
Expire / Expired / Expired,Day 85,Intermediate,காலாவதியாகு / ஆனது / ஆகியுள்ளது,समाप्त होना / हुआ / हो चुका,1. It will expire soon. // 2. It expired. // 3. Time has expired.,1. காலாவதியாகும். // 2. அது காலாவதியானது. // 3. நேரம் முடிந்துவிட்டது.,1. समाप्त हो जाएगा। // 2. यह समाप्त हो गया। // 3. समय समाप्त हो गया है।
Explicate / Explicated / Explicated,Day 86,Intermediate,விவரி / விவரித்தேன் / விவரித்துள்ளேன்,व्याख्या करना / की / कर चुका,1. Explicate the text. // 2. He explicated. // 3. It was explicated.,1. விவரமாக விளக்கு. // 2. அவர் விளக்கினார். // 3. அது விளக்கப்பட்டது.,1. विस्तार से समझाएं। // 2. उसने समझाया। // 3. इसे समझाया गया था।
Exploit / Exploited / Exploited,Day 86,Intermediate,சுரண்டு / சுரண்டினேன் / சுரண்டியுள்ளேன்,शोषण करना / किया / कर चुका,1. Don't exploit them. // 2. He exploited it. // 3. I was exploited.,1. சுரண்டாதே (பயன்படுத்து). // 2. அவர் சுரண்டினார். // 3. நான் சுரண்டப்பட்டேன்.,1. शोषण न करें। // 2. उसने शोषण किया। // 3. मेरा शोषण हुआ।
Expound / Expounded / Expounded,Day 86,Intermediate,விவரி / விவரித்தேன் / விவரித்துள்ளேன்,विस्तार से बताना / बताया / चुका,1. Expound the theory. // 2. He expounded. // 3. It has been expounded.,1. விரிவாகக் கூறு. // 2. அவர் கூறினார். // 3. அது கூறப்பட்டுள்ளது.,1. प्रतिपादन करें। // 2. उसने प्रतिपादन किया। // 3. प्रतिपादन किया गया है।
Extenuate / Extenuated / Extenuated,Day 86,Intermediate,தணி / தணித்தேன் / தணித்துள்ளேன்,कम करना / किया / कर चुका,1. Extenuate the fault. // 2. It extenuated. // 3. Circumstances extenuated.,1. தணி (குறைத்துக்காட்டு). // 2. அது தணிந்தது. // 3. சூழ்நிலைகள் தணித்தன.,1. कम करना। // 2. इसने कम किया। // 3. परिस्थितियों ने कम किया।
Exterminate / Exterminated / Exterminated,Day 86,Intermediate,அழி / அழித்தேன் / அழித்துள்ளேன்,विनाश करना / किया / कर चुका,1. Exterminate pests. // 2. They exterminated. // 3. It was exterminated.,1. அடியோடு அழி. // 2. அவர்கள் அழித்தனர். // 3. அது அழிக்கப்பட்டது.,1. समूल नष्ट करें। // 2. उन्होंने नष्ट किया। // 3. इसे नष्ट कर दिया गया था।
Extinguish / Extinguished / Extinguished,Day 87,Intermediate,அணை / அணைத்தேன் / அணைத்துள்ளேன்,बुझाना / बुझाया / बुझा चुका,1. Extinguish the fire. // 2. He extinguished it. // 3. It is extinguished.,1. தீயை அணை. // 2. அவர் அணைத்தார். // 3. அது அணைக்கப்பட்டது.,1. आग बुझाएं। // 2. उसने बुझाया। // 3. यह बुझ गया है।
Extol / Extolled / Extolled,Day 87,Intermediate,புகழ் / புகழ்ந்தேன் / புகழ்ந்துள்ளேன்,प्रशंसा करना / की / कर चुका,1. Extol his virtues. // 2. They extolled him. // 3. He was extolled.,1. புகழ்ந்து பேசு. // 2. அவர்கள் புகழ்ந்தனர். // 3. அவர் புகழப்பட்டார்.,1. प्रशंसा करें। // 2. उन्होंने प्रशंसा की। // 3. उसकी प्रशंसा की गई।
Extradite / Extradited / Extradited,Day 87,Intermediate,ஒப்படை / ஒப்படைத்தேன் / ஒப்படைத்துள்ளேன்,प्रत्यर्पित करना / किया / कर चुका,1. Extradite the criminal. // 2. They extradited. // 3. He was extradited.,1. ஒப்படை (குற்றவாளியை). // 2. அவர்கள் ஒப்படைத்தனர். // 3. அவர் ஒப்படைக்கப்பட்டார்.,1. प्रत्यर्पित करें। // 2. उन्होंने किया। // 3. उसे प्रत्यर्पित किया गया।
Fabricate / Fabricated / Fabricated,Day 87,Intermediate,உருவாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,निर्माण करना / किया / कर चुका,1. Fabricate the truth. // 2. He fabricated. // 3. It was fabricated.,1. பொய் புனை. // 2. அவர் புனைந்தார். // 3. அது புனையப்பட்டது.,1. झूठ गढ़ना। // 2. उसने गढ़ा। // 3. इसे गढ़ा गया था।
Facilitate / Facilitated / Facilitated,Day 87,Intermediate,எளிதாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,सुगम बनाना / बनाया / बना चुका,1. Facilitate the work. // 2. It facilitated us. // 3. It was facilitated.,1. எளிதாக்கு. // 2. அது எளிதாக்கியது. // 3. அது எளிதாக்கப்பட்டது.,1. सुगम बनाएं। // 2. इसने सुगम बनाया। // 3. इसे सुगम बनाया गया था।
Fake / Faked / Faked,Day 88,Intermediate,போலியாக உருவாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,नकली बनाना / बनाया / बना चुका,1. Don't fake it. // 2. He faked a call. // 3. It was faked.,1. போலி செய்யாதே. // 2. அவர் போலியாகச் செய்தார். // 3. அது போலியாகச் செய்யப்பட்டது.,1. दिखावा न करें। // 2. उसने दिखावा किया। // 3. यह फर्जी था।
Falsify / Falsified / Falsified,Day 88,Intermediate,பொய்யாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,जाली बनाना / बनाया / बना चुका,1. Don't falsify data. // 2. He falsified it. // 3. It is falsified.,1. திருத்தாதே (தவறாக). // 2. அவர் தவறாக்கினார். // 3. அது தவறாக்கப்பட்டது.,1. जालसाजी न करें। // 2. उसने की। // 3. इसे गलत ठहराया गया है।
Falter / Faltered / Faltered,Day 88,Intermediate,தடுமாறு / மாறினேன் / மாறியுள்ளேன்,डगमगाना / डगमगाया / डगमगा चुका,1. Don't falter now. // 2. He faltered. // 3. Voice has faltered.,1. தயங்காதே. // 2. அவர் தயங்கினார். // 3. குரல் தழுதழுத்தது.,1. डगमगाएं नहीं। // 2. वह डगमगा गया। // 3. आवाज डगमगा गई।
Familiarize / Familiarized / Familiarized,Day 88,Intermediate,பழக்கப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,परिचित होना / हुआ / हो चुका,1. Familiarize yourself. // 2. He familiarized. // 3. I am familiarized.,1. பழகிக்கொள். // 2. அவர் பழக்கப்படுத்தினார். // 3. நான் பழகிக்கொண்டேன்.,1. परिचित हों। // 2. उसने परिचित कराया। // 3. मैं परिचित हूँ।
Fan / Fanned / Fanned,Day 88,Intermediate,விசிறி விடு / விட்டேன் / விட்டுள்ளேன்,पंखा करना / किया / कर चुका,1. Fan the flame. // 2. She fanned herself. // 3. I have fanned.,1. விசிறிவிடு. // 2. அவள் விசிறிக்கொண்டாள். // 3. நான் விசிறினேன்.,1. पंखा करें। // 2. उसने खुद को पंखा किया। // 3. मैंने पंखा किया है।
Fascinate / Fascinated / Fascinated,Day 89,Intermediate,வசீகரி / வசீகரித்தேன் / வசீகரித்துள்ளேன்,आकर्षित करना / किया / कर चुका,1. It fascinates me. // 2. It fascinated him. // 3. I am fascinated.,1. அது கவருகிறது. // 2. அது அவரைக் கவர்ந்தது. // 3. நான் ஈர்க்கப்பட்டேன்.,1. यह मुझे आकर्षित करता है। // 2. इसने उसे आकर्षित किया। // 3. मैं मंत्रमुग्ध हूँ।
Fashion / Fashioned / Fashioned,Day 89,Intermediate,வடிவமை / அமைத்தேன் / அமைத்துள்ளேன்,आकार देना / दिया / दे चुका,1. Fashion a bowl. // 2. He fashioned it. // 3. It was fashioned.,1. உருவாக்கு (வடிவமை). // 2. அவர் உருவாக்கினார். // 3. அது உருவாக்கப்பட்டது.,1. आकार देना। // 2. उसने इसे बनाया। // 3. इसे बनाया गया था।
Fast / Fasted / Fasted,Day 89,Intermediate,விரதமிரு / இருந்தேன் / இருந்துள்ளேன்,उपवास करना / किया / कर चुका,1. Fast for health. // 2. He fasted today. // 3. I have fasted.,1. விரதம் இரு. // 2. அவர் விரதம் இருந்தார். // 3. நான் விரதம் இருந்தேன்.,1. उपवास रखें। // 2. उसने उपवास रखा। // 3. मैंने उपवास रखा है।
Fatalize / Fatalized / Fatalized,Day 89,Intermediate,தலைவிதி என விடு / விட்டேன் / விட்டுள்ளேன்,घातक बनाना / बनाया / बना चुका,1. Don't fatalize. // 2. He fatalized events. // 3. It was fatalized.,1. விதியென விடு. // 2. அவர் விதியெனக் கருதினார். // 3. அது விதியெனக் கருதப்பட்டது.,1. भाग्यवादी होना। // 2. उसने भाग्य पर छोड़ा। // 3. इसे भाग्य माना गया।
Fathom / Fathomed / Fathomed,Day 89,Intermediate,ஆழம் அறி / அறிந்தேன் / அறிந்துள்ளேன்,गहराई मापना / मापी / माप चुका,1. Fathom the depth. // 2. He fathomed it. // 3. It is fathomed.,1. ஆழம் காணு (புரிந்துகொள்). // 2. அவர் புரிந்துகொண்டார். // 3. அது புரிந்துகொள்ளப்பட்டது.,1. गहराई नापना (समझना)। // 2. उसने समझा। // 3. इसे समझ लिया गया है।
Fatigue / Fatigued / Fatigued,Day 90,Intermediate,சோர்வடை / அடைந்தேன் / அடைந்துள்ளேன்,थकाना / थकाया / थका चुका,1. Work will fatigue you. // 2. It fatigued me. // 3. I am fatigued.,1. சோர்வடையச் செய்யும். // 2. அது என்னைச் சோர்வடையச் செய்தது. // 3. நான் சோர்வடைந்துள்ளேன்.,1. थकान होना। // 2. इसने मुझे थका दिया। // 3. मैं थक गया हूँ।
Fault / Faulted / Faulted,Day 90,Intermediate,குற்றம் கண்டுபிடி / பிடித்தேன் / பிடித்துள்ளேன்,दोष निकालना / निकाला / चुका,1. Don't fault him. // 2. He faulted me. // 3. They have faulted.,1. குற்றம் காணாதே. // 2. அவர் என்மீது குற்றம் கண்டார். // 3. அவர்கள் குற்றம் கண்டனர்.,1. दोष न निकालें। // 2. उसने मुझ पर दोष निकाला। // 3. उन्होंने दोष निकाला है।
Favor / Favored / Favored,Day 90,Intermediate,ஆதரவளி / அளித்தேன் / அளித்துள்ளேன்,समर्थन करना / किया / कर चुका,1. Favor the bold. // 2. Luck favored him. // 3. We are favored.,1. ஆதரி (சாதகமாக இரு). // 2. அதிர்ஷ்டம் அவருக்குச் சாதகமாக இருந்தது. // 3. எங்களுக்குச் சாதகமாக அமைந்தது.,1. पक्ष लें। // 2. भाग्य ने उसका साथ दिया। // 3. हम पर कृपा हुई।
Feast / Feasted / Feasted,Day 90,Intermediate,விருந்து உண் / உண்டேன் / உண்டுள்ளேன்,दावत उड़ाना / उड़ाई / उड़ा चुका,1. Feast on the food. // 2. They feasted. // 3. We have feasted.,1. விருந்து உண். // 2. அவர்கள் விருந்துண்டனர். // 3. நாங்கள் விருந்துண்டோம்.,1. दावत उड़ाना। // 2. उन्होंने दावत की। // 3. हमने दावत की है।
Feather / Feathered / Feathered,Day 90,Intermediate,இறகால் மூடு / மூடினேன் / மூடியுள்ளேன்,पंख लगाना / लगाया / लगा चुका,1. Feather the nest. // 2. He feathered it. // 3. It is feathered.,1. சிறகுகளால் மூடு. // 2. அவர் மெருகூட்டினார். // 3. அது மெருகூட்டப்பட்டது.,1. पंख लगाना। // 2. उसने पंख लगाए। // 3. यह पंखदार है।
Feature / Featured / Featured,Day 91,Intermediate,சிறப்பித்துக் காட்டு / காட்டினேன் / காட்டியுள்ளேன்,विशेषता बताना / बताई / बता चुका,1. Feature the product. // 2. It featured him. // 3. He was featured.,1. முன்னிலைப்படுத்து. // 2. அது அவரைச் சித்தரித்தது. // 3. அவர் இடம்பெற்றார்.,1. मुख्य रूप से दिखाना। // 2. इसमें उसे दिखाया गया। // 3. उसे दिखाया गया था।
Federalize / Federalized / Federalized,Day 91,Intermediate,கூட்டமைப்பாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,संघ बनाना / बनाया / बना चुका,1. Federalize the laws. // 2. They federalized. // 3. It was federalized.,1. கூட்டமைப்பாக்கு. // 2. அவர்கள் கூட்டமைப்பாக்கினர். // 3. அது கூட்டமைப்பாக்கப்பட்டது.,1. संघीकरण करना। // 2. उन्होंने किया। // 3. इसका संघीकरण किया गया।
Feed / Fed / Fed,Day 91,Intermediate,உணவளி / உணவளித்தேன் / உணவளித்துள்ளேன்,खिलाना / खिलाया / खिला चुका,1. Feed the cat. // 2. He fed the birds. // 3. I have fed.,1. உணவளி. // 2. அவர் பறவைகளுக்கு உணவளித்தார். // 3. நான் உணவளித்தேன்.,1. खिलाओ। // 2. उसने पक्षियों को खिलाया। // 3. मैंने खिला दिया है।
Feel / Felt / Felt,Day 91,Intermediate,உணர் / உணர்ந்தேன் / உணர்ந்துள்ளேன்,महसूस करना / किया / कर चुका,1. Feel the texture. // 2. He felt happy. // 3. I have felt.,1. உணர். // 2. அவர் மகிழ்ச்சியாக உணர்ந்தார். // 3. நான் உணர்ந்தேன்.,1. महसूस करें। // 2. उसे खुशी महसूस हुई। // 3. मैंने महसूस किया है।
Feign / Feigned / Feigned,Day 91,Intermediate,சாக்குப்போக்கு சொல் / சொன்னேன் / சொல்லியுள்ளேன்,बहाना करना / किया / कर चुका,1. Don't feign sleep. // 2. He feigned illness. // 3. She has feigned.,1. பாசாங்கு செய். // 2. அவர் உடல்நலக்குறைவு போலப் பாசாங்கு செய்தார். // 3. அவள் பாசாங்கு செய்தாள்.,1. बहाना बनाना। // 2. उसने बीमारी का बहाना किया। // 3. उसने बहाना किया है।
Felicitate / Felicitated / Felicitated,Day 92,Intermediate,பாராட்டு / பாராட்டினேன் / பாராட்டியுள்ளேன்,अभिनंदन करना / किया / कर चुका,1. Felicitate the winner. // 2. They felicitated him. // 3. He was felicitated.,1. பாராட்டுத் தெரிவி. // 2. அவர்கள் அவரைப் பாராட்டினர். // 3. அவர் பாராட்டப்பட்டார்.,1. अभिनंदन करें। // 2. उन्होंने उसका अभिनंदन किया। // 3. उसका अभिनंदन किया गया।
Felt / Felted / Felted,Day 92,Intermediate,கம்பளியாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,नमदा बनाना / बनाया / बना चुका,1. Felt the fabric. // 2. It felted up. // 3. It is felted.,1. மெருகூட்டு (கம்பளி ஆக்கு). // 2. அது உருவானது. // 3. அது மெருகூட்டப்பட்டது.,1. नमदा बनाना। // 2. यह जम गया। // 3. यह जमा हुआ है।
